name1,name2,season,score,match_indicator
Onyinye Wilfred Ndidi,Wilfred Ndidi,17-18,76.47058823529412,1
Mesut Ozil,Mesut Özil,17-18,90.0,1
Matthew James,Matty James,17-18,83.33333333333334,1
Sergio Aguero,Sergio Agüero,17-18,92.3076923076923,1
Francesc Fábregas,Cesc Fàbregas,17-18,80.0,1
Robert Brady,Robbie Brady,17-18,83.33333333333334,1
Patrick Van Aanholt,Patrick van Aanholt,17-18,100.0,1
Thomas Ince,Tom Ince,17-18,84.21052631578947,1
Bojan Krkic,Bojan Krkic Perez,17-18,78.57142857142857,1
Rhu-Endly Martina,Cuco Martina,17-18,62.06896551724138,1
Luis Antonio Valencia,Antonio Valencia,17-18,86.48648648648648,1
Javier Hernández,Javier Hernández Balcázar,17-18,78.04878048780488,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,17-18,68.75,1
Moussa Dembélé,Mousa Dembélé,17-18,96.29629629629629,1
Oriol Romeu,Oriol Romeu Vidal,17-18,78.57142857142857,1
Cedric Ricardo Alves Soares,Cédric Soares,17-18,60.0,1
Thomas Carroll,Tom Carroll,17-18,88.0,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,17-18,60.0,1
Sadio Mane,Sadio Mané,17-18,90.0,1
Jordan Ibe,Jordon Ibe,17-18,90.0,1
Ahmed El-Sayed Hegazy,Ahmed El-Sayed Hegazi,17-18,95.23809523809523,1
Matthew Phillips,Matt Phillips,17-18,89.65517241379311,1
Ramadan Sobhy Ahmed,Ramadan Sobhi,17-18,75.0,1
Chung-Yong Lee,Chung-yong Lee,17-18,100.0,1
Ashley Roy Westwood,Ashley Westwood,17-18,88.23529411764706,1
José Heriberto Izquierdo,José Heriberto Izquierdo Mena,17-18,90.56603773584906,1
Renato Júnior Luz Sanches,Renato Sanches,17-18,71.7948717948718,1
Ilkay Gundogan,Ilkay Gündogan,17-18,92.85714285714286,1
Victor Nilsson-Lindelof,Victor Lindelöf,17-18,73.68421052631578,1
Sung-Yueng Ki,Sung-yueng Ki,17-18,100.0,1
Phillip Bardsley,Phil Bardsley,17-18,89.65517241379311,1
Georges-Kévin Nkoudou Mbida,Georges-Kévin Nkoudou,17-18,87.5,1
Daniel Ward,Danny Ward,18-19,76.19047619047619,1
David Hoilett,David Junior Hoilett,18-19,78.78787878787878,1
Bobby DeCordova-Reid,Bobby Reid,18-19,66.66666666666666,1
Souleymane Bamba,Sol Bamba,18-19,72.0,1
Sergio Aguero,Sergio Agüero,18-19,92.3076923076923,1
Ilkay Gundogan,Ilkay Gündogan,18-19,92.85714285714286,1
Mesut Ozil,Mesut Özil,18-19,90.0,1
Patrick Van Aanholt,Patrick van Aanholt,18-19,100.0,1
Andre Schürrle,André Schürrle,18-19,92.85714285714286,1
Kouassi Ryan Sessegnon,Ryan Sessegnon,18-19,77.77777777777779,1
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,18-19,79.06976744186046,1
Javier Hernández,Javier Hernández Balcázar,18-19,78.04878048780488,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,18-19,60.0,1
Sadio Mane,Sadio Mané,18-19,90.0,1
Onyinye Wilfred Ndidi,Wilfred Ndidi,18-19,76.47058823529412,1
Victor Nilsson-Lindelof,Victor Lindelöf,18-19,73.68421052631578,1
David De Gea,David de Gea,18-19,100.0,1
Moussa Dembélé,Mousa Dembélé,18-19,96.29629629629629,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,18-19,68.75,1
Cedric Ricardo Alves Soares,Cédric Soares,18-19,60.0,1
Ashley Roy Westwood,Ashley Westwood,18-19,88.23529411764706,1
Oriol Romeu,Oriol Romeu Vidal,18-19,78.57142857142857,1
Mohammed Elyounoussi,Mohamed Elyounoussi,18-19,97.43589743589743,1
João Moutinho,João Filipe Iria Santos Moutinho,18-19,57.77777777777777,1
Helder Costa,Hélder Costa,18-19,91.66666666666666,1
Diogo José Teixeira da Silva,Diogo Jota,18-19,52.63157894736842,1
Raul Alonso Jimenez Rodriguez,Raúl Jiménez,18-19,48.78048780487805,1
Leonardo Bonatini Lohner Maia,Bonatini Lohner Maia Bonatini,18-19,68.96551724137932,1
Ramadan Sobhy Ahmed,Ramadan Sobhi,18-19,75.0,1
Lucas Pérez Martínez,Lucas Pérez,18-19,70.96774193548387,1
Jordan Ibe,Jordon Ibe,18-19,90.0,1
Luis Antonio Valencia,Antonio Valencia,18-19,86.48648648648648,1
Sung-Yueng Ki,Sung-yueng Ki,18-19,100.0,1
Phillip Bardsley,Phil Bardsley,18-19,89.65517241379311,1
Ashley Richards,Ashley Darel Jazz Richards,18-19,73.17073170731707,1
Greg Cunningham,Greg Cunninghamm,18-19,96.7741935483871,1
Romain Saiss,Romain Saïss,18-19,91.66666666666666,1
José Heriberto Izquierdo,José Heriberto Izquierdo Mena,18-19,90.56603773584906,1
Francesc Fábregas,Cesc Fàbregas,18-19,80.0,1
Robert Brady,Robbie Brady,18-19,83.33333333333334,1
Sergio Rico González,Sergio Rico,18-19,70.96774193548387,1
Caglar Söyüncü,Çaglar Söyüncü,18-19,92.85714285714286,1
Yann Valery,Yan Valery,18-19,95.23809523809523,1
Georges-Kévin Nkoudou Mbida,Georges-Kévin Nkoudou,18-19,87.5,1
Havard Nordtveit,Håvard Nordtveit,18-19,93.75,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,19-20,60.0,1
Kenneth McLean,Kenny McLean,19-20,84.61538461538461,1
Sadio Mane,Sadio Mané,19-20,90.0,1
Ashley Roy Westwood,Ashley Westwood,19-20,88.23529411764706,1
Yann Valery,Yan Valery,19-20,95.23809523809523,1
Oriol Romeu,Oriol Romeu Vidal,19-20,78.57142857142857,1
Patrick Van Aanholt,Patrick van Aanholt,19-20,100.0,1
João Moutinho,João Filipe Iria Santos Moutinho,19-20,57.77777777777777,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,19-20,68.75,1
Raul Alonso Jimenez Rodriguez,Roberto Jimenez Gago,19-20,53.06122448979592,1
Onyinye Wilfred Ndidi,Wilfred Ndidi,19-20,76.47058823529412,1
Diogo José Teixeira da Silva,Diogo Jota,19-20,52.63157894736842,1
Romain Saiss,Romain Saïss,19-20,91.66666666666666,1
Caglar Söyüncü,Çaglar Söyüncü,19-20,92.85714285714286,1
José Ignacio Peleteiro Ramallo,José Ignacio Peleteiro Romallo,19-20,96.66666666666667,1
Wesley Moraes Ferreira da Silva,Wesley Moraes,19-20,59.09090909090909,1
Ahmed Elmohamady,Ahmed El Mohamady,19-20,96.96969696969697,1
Mahmoud Hassan,Mahmoud Ahmed Ibrahim Hassan,19-20,66.66666666666666,1
Tanguy NDombele,Tanguy Ndombele,19-20,100.0,1
Georges-Kévin Nkoudou Mbida,Georges-Kévin Nkoudou,19-20,87.5,1
Björn Engels,Bjorn Engels,19-20,91.66666666666666,1
Rodrigo Hernández Cascante,Rodrigo Hernandez,19-20,74.4186046511628,1
Javier Hernández,Javier Hernández Balcázar,19-20,78.04878048780488,1
Sergio Aguero,Sergio Agüero,19-20,92.3076923076923,1
Ilkay Gundogan,Ilkay Gündogan,19-20,92.85714285714286,1
David De Gea,David de Gea,19-20,100.0,1
Victor Nilsson-Lindelof,Victor Lindelöf,19-20,73.68421052631578,1
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,19-20,79.06976744186046,1
Nicolas Pepe,Nicolas Pépé,19-20,83.33333333333334,1
Sung-Yueng Ki,Sung-yueng Ki,19-20,100.0,1
Pedro Neto,Pedro Lomba Neto,19-20,76.92307692307693,1
Jordan Ibe,Jordon Ibe,19-20,90.0,1
Frederic Guilbert,Frédéric Guilbert,19-20,88.23529411764706,1
Ismaila Sarr,Ismaïla Sarr,19-20,91.66666666666666,1
Cedric Ricardo Alves Soares,Cédric Soares,19-20,60.0,1
Mesut Ozil,Mesut Özil,19-20,90.0,1
Jesús Vallejo,Jesús Vallejo Lázaro,19-20,78.78787878787878,1
Robert Brady,Robbie Brady,19-20,83.33333333333334,1
Jose Angel Esmoris Tasende,José Ángel Esmorís Tasende,19-20,88.46153846153845,1
Roberto Jiménez,Roberto Jimenez Gago,19-20,80.0,1
Ralf Fährmann,Ralf Fahrmann,19-20,92.3076923076923,1
Djibril Sidibe,Djibril Sidibé,19-20,92.85714285714286,1
Muhamed Besic,Muhamed Bešić,19-20,84.61538461538461,1
Kouassi Ryan Sessegnon,Ryan Sessegnon,19-20,77.77777777777779,1
Phillip Bardsley,Phil Bardsley,19-20,89.65517241379311,1
Örjan Nyland,Ørjan Nyland,19-20,91.66666666666666,1
Emile Smith-Rowe,Emile Smith Rowe,19-20,93.75,1
Mbwana Aly Samatta,Mbwana Samatta,19-20,87.5,1
Daniel Podence,Daniel Castelo Podence,19-20,77.77777777777779,1
Matthew James,Matty James,19-20,83.33333333333334,1
Emiliano Martinez,Emiliano Martínez,19-20,94.11764705882352,1
Robert Brady,Robbie Brady,20-21,83.33333333333334,1
Ashley Roy Westwood,Ashley Westwood,20-21,88.23529411764706,1
David De Gea,David de Gea,20-21,100.0,1
Oriol Romeu,Oriol Romeu Vidal,20-21,78.57142857142857,1
Gabriel dos Santos Magalhães,Gabriel Magalhães,20-21,75.55555555555556,1
Nicolas Pepe,Nicolas Pépé,20-21,83.33333333333334,1
Mohamed Elneny,Mohamed Naser El Sayed Elneny,20-21,65.11627906976744,1
Ivan Cavaleiro,Ivan Ricardo Neves Abreu Cavaleiro,20-21,58.333333333333336,1
Aleksandar Mitrovic,Aleksandar Mitrović,20-21,94.73684210526315,1
Bobby DeCordova-Reid,Bobby Decordova-Reid,20-21,100.0,1
Pablo Hernández,Pablo Hernández Domínguez,20-21,75.0,1
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,20-21,60.0,1
Rodrigo Moreno Machado,Rodrigo Moreno,20-21,77.77777777777779,1
Sadio Mane,Sadio Mané,20-21,90.0,1
Helder Costa,Hélder Wander Sousa de Azevedo e Costa,20-21,44.0,1
Ilkay Gundogan,Ilkay Gündogan,20-21,92.85714285714286,1
Rodrigo Hernández Cascante,Rodrigo Hernandez,20-21,74.4186046511628,1
Bertrand Traore,Bertrand Traoré,20-21,93.33333333333333,1
Emiliano Martinez,Emiliano Martínez,20-21,94.11764705882352,1
Tanguy NDombele,Tanguy Ndombele,20-21,100.0,1
Onyinye Wilfred Ndidi,Wilfred Ndidi,20-21,76.47058823529412,1
Semi Ajayi,Oluwasemilogo Adesewo Ibidapo Ajayi,20-21,44.44444444444444,1
Caglar Söyüncü,Çaglar Söyüncü,20-21,92.85714285714286,1
Ayoze Pérez Gutiérrez,Ayoze Pérez,20-21,68.75,1
Matheus Fellipe Costa Pereira,Matheus Pereira,20-21,68.18181818181817,1
Kepa Arrizabalaga Revuelta,Kepa Arrizabalaga,20-21,79.06976744186046,1
Daniel Podence,Daniel Castelo Podence,20-21,77.77777777777779,1
Pedro Neto,Pedro Lomba Neto,20-21,76.92307692307693,1
João Moutinho,João Filipe Iria Santos Moutinho,20-21,57.77777777777777,1
Fernando Marçal de Oliveira,Fernando Marçal,20-21,71.42857142857143,1
Vitor Machado Ferreira,Vitor Ferreira,20-21,77.77777777777779,1
Romain Saiss,Romain Saïss,20-21,91.66666666666666,1
Raul Alonso Jimenez Rodriguez,Raúl Jiménez,20-21,48.78048780487805,1
Mahmoud Hassan,Mahmoud Ahmed Ibrahim Hassan,20-21,66.66666666666666,1
Matthew Phillips,Matt Phillips,20-21,89.65517241379311,1
James Dunne,Jimmy Dunne,20-21,72.72727272727273,1
Phillip Bardsley,Phil Bardsley,20-21,89.65517241379311,1
Victor Nilsson-Lindelof,Victor Lindelöf,20-21,73.68421052631578,1
Fabio Daniel Soares Silva,Fabio Silva,20-21,61.111111111111114,1
Diogo José Teixeira da Silva,Diogo Jota,20-21,52.63157894736842,1
Thiago Emiliano da Silva,Thiago Thiago,20-21,54.054054054054056,1
Nelson Semedo,Nélson Cabral Semedo,20-21,72.72727272727273,1
Ahmed Elmohamady,Ahmed El Mohamady,20-21,96.96969696969697,1
Sergio Aguero,Sergio Agüero,20-21,92.3076923076923,1
Oluwatosin Adarabioyo,Tosin Adarabioyo,20-21,86.48648648648648,1
Patrick Van Aanholt,Patrick van Aanholt,20-21,100.0,1
Said Benrahma,Saïd Benrahma,20-21,92.3076923076923,1
Robert Sanchez,Robert Sánchez,20-21,92.85714285714286,1
Diego Javier Llorente Ríos,Diego Llorente,20-21,70.0,1
Cedric Ricardo Alves Soares,Cédric Soares,20-21,60.0,1
Emile Smith-Rowe,Emile Smith Rowe,20-21,93.75,1
Zackary Steffen,Zack Steffen,20-21,88.88888888888889,1
Yann Valery,Yan Valery,20-21,95.23809523809523,1
