match_id,nick_name,full_name,pos,team,xa,xg
987592,Defoe,Jermain Defoe,Forward,BOU,0.00,0.00
987592,Francis,Simon Francis,Defender,BOU,0.09,0.00
987592,Surman,Andrew Surman,Midfielder,BOU,0.05,0.05
987592,Begovic,Asmir Begovic,Goalkeeper,BOU,0.00,0.00
987592,Gosling,Dan Gosling,Midfielder,BOU,0.14,0.02
987592,Daniels,Charlie Daniels,Defender,BOU,0.08,0.00
987592,Smith (Adam),Adam Smith,Defender,BOU,0.04,0.00
987592,Cook (Steve),Steve Cook,Defender,BOU,0.01,0.00
987592,Wilson (Callum),Callum Wilson,Forward,BOU,0.37,1.14
987592,King (Joshua),Joshua King,Forward,BOU,0.09,0.05
987592,Fraser,Ryan Fraser,Midfielder,BOU,0.20,0.48
987592,Brooks,David Brooks,Midfielder,BOU,0.02,0.47
987592,Aké,Nathan Aké,Defender,BOU,0.00,0.00
987592,Mousset,Lys Mousset,Forward,BOU,0.00,0.00
987592,Sol Bamba,Souleymane Bamba,Defender,CAR,0.01,0.00
987592,Peltier,Lee Peltier,Defender,CAR,0.04,0.00
987592,Madine,Gary Madine,Forward,CAR,0.00,0.00
987592,Ecuele Manga,Bruno Ecuele Manga,Defender,CAR,0.01,0.00
987592,Hoilett,David Hoilett,Midfielder,CAR,0.55,0.00
987592,Morrison,Sean Morrison,Defender,CAR,0.14,0.87
987592,Bennett (Joe),Joe Bennett,Defender,CAR,0.01,0.00
987592,Ward (Daniel),Daniel Ward,Midfielder,CAR,0.00,0.00
987592,Mendez-Laing,Nathaniel Mendez-Laing,Midfielder,CAR,0.00,0.14
987592,Etheridge,Neil Etheridge,Goalkeeper,CAR,0.00,0.00
987592,DeCordova-Reid,Bobby DeCordova-Reid,Forward,CAR,0.36,0.22
987592,Ralls,Joe Ralls,Midfielder,CAR,0.10,0.03
987592,Josh Murphy,Josh Murphy,Midfielder,CAR,0.01,0.21
987592,Paterson,Callum Paterson,Midfielder,CAR,0.02,0.12
987593,Cech,Petr Cech,Goalkeeper,ARS,0.00,0.00
987593,Lichtsteiner,Stephan Lichtsteiner,Defender,ARS,0.03,0.00
987593,Ozil,Mesut Ozil,Midfielder,ARS,0.15,0.00
987593,Sokratis,Sokratis Papastathopoulos,Defender,ARS,0.01,0.00
987593,Ramsey,Aaron Ramsey,Midfielder,ARS,0.03,0.03
987593,Aubameyang,Pierre-Emerick Aubameyang,Forward,ARS,0.02,0.03
987593,Mkhitaryan,Henrikh Mkhitaryan,Midfielder,ARS,0.22,0.14
987593,Lacazette,Alexandre Lacazette,Forward,ARS,0.00,0.15
987593,Mustafi,Shkodran Mustafi,Defender,ARS,0.00,0.04
987593,Xhaka,Granit Xhaka,Midfielder,ARS,0.02,0.00
987593,Bellerín,Héctor Bellerín,Defender,ARS,0.02,0.07
987593,Maitland-Niles,Ainsley Maitland-Niles,Midfielder,ARS,0.01,0.00
987593,Torreira,Lucas Torreira,Midfielder,ARS,0.03,0.00
987593,Guendouzi,Matteo Guendouzi,Midfielder,ARS,0.03,0.03
987593,Fernandinho,Fernando Luiz Rosa,Midfielder,MCI,0.01,0.00
987593,Aguero,Sergio Aguero,Forward,MCI,0.04,0.57
987593,Walker,Kyle Walker,Defender,MCI,0.02,0.00
987593,Gundogan,Ilkay Gundogan,Midfielder,MCI,0.01,0.07
987593,De Bruyne,Kevin De Bruyne,Midfielder,MCI,0.00,0.04
987593,Stones,John Stones,Defender,MCI,0.00,0.00
987593,Mendy (Benjamin),Benjamin Mendy,Defender,MCI,0.07,0.08
987593,Mahrez,Riyad Mahrez,Midfielder,MCI,0.12,0.18
987593,Sterling (Raheem),Raheem Sterling,Midfielder,MCI,0.05,0.20
987593,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0.00,0.00
987593,Laporte,Aymeric Laporte,Defender,MCI,0.01,0.51
987593,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,MCI,0.03,0.09
987593,Leroy Sane,Leroy Sané,Midfielder,MCI,0.00,0.03
987593,Jesus,Gabriel Fernando de Jesus,Forward,MCI,0.01,0.00
987594,Hennessey,Wayne Hennessey,Goalkeeper,CRY,0.01,0.00
987594,Sakho,Mamadou Sakho,Defender,CRY,0.00,0.00
987594,Tomkins,James Tomkins,Defender,CRY,0.09,0.02
987594,McArthur,James McArthur,Midfielder,CRY,0.00,0.00
987594,Benteke,Christian Benteke,Forward,CRY,0.09,0.15
987594,Kouyaté,Cheikhou Kouyaté,Midfielder,CRY,0.00,0.05
987594,Townsend,Andros Townsend,Midfielder,CRY,0.16,0.06
987594,Milivojevic,Luka Milivojevic,Midfielder,CRY,0.08,0.00
987594,Van Aanholt,Patrick Van Aanholt,Defender,CRY,0.10,0.03
987594,Souaré,Pape Souaré,Defender,CRY,0.00,0.00
987594,Zaha,Wilfried Zaha,Forward,CRY,0.02,0.61
987594,Schlupp,Jeffrey Schlupp,Defender,CRY,0.01,0.06
987594,Sørloth,Alexander Sørloth,Forward,CRY,0.00,0.00
987594,Wan-Bissaka,Aaron Wan-Bissaka,Defender,CRY,0.15,0.00
987594,Fabri,Fabricio Agosto Ramírez,Goalkeeper,FUL,0.00,0.00
987594,McDonald,Kevin McDonald,Midfielder,FUL,0.02,0.02
987594,Le Marchand,Maxime Le Marchand,Defender,FUL,0.01,0.00
987594,Johansen,Stefan Johansen,Midfielder,FUL,0.01,0.00
987594,Schürrle,Andre Schürrle,Midfielder,FUL,0.05,0.00
987594,Cairney,Tom Cairney,Midfielder,FUL,0.05,0.03
987594,Christie,Cyrus Christie,Defender,FUL,0.13,0.02
987594,Bryan,Joe Bryan,Defender,FUL,0.24,0.00
987594,Chambers,Calum Chambers,Defender,FUL,0.00,0.00
987594,Vietto,Luciano Vietto,Forward,FUL,0.01,0.04
987594,Mitrovic,Aleksandar Mitrovic,Forward,FUL,0.01,0.37
987594,Seri,Jean Michael Seri,Midfielder,FUL,0.09,0.03
987594,Sessegnon (Ryan),Kouassi Ryan Sessegnon,Midfielder,FUL,0.04,0.06
987594,Kamara,Aboubakar Kamara,Forward,FUL,0.04,0.10
987595,Luiz,David Luiz Moreira Marinho,Defender,CHE,0.03,0.00
987595,Azpilicueta,César Azpilicueta,Defender,CHE,0.03,0.00
987595,Hazard,Eden Hazard,Midfielder,CHE,0.03,0.14
987595,Willian,Willian Borges Da Silva,Midfielder,CHE,0.13,0.04
987595,Moses,Victor Moses,Defender,CHE,0.02,0.00
987595,Pedro,Pedro Rodríguez Ledesma,Midfielder,CHE,0.04,0.27
987595,Alonso,Marcos Alonso,Defender,CHE,0.06,0.38
987595,Jorginho,Jorge Luiz Frello Filho,Midfielder,CHE,0.03,0.79
987595,Morata,Álvaro Morata,Forward,CHE,0.02,0.15
987595,Barkley,Ross Barkley,Midfielder,CHE,0.04,0.04
987595,Rüdiger,Antonio Rüdiger,Defender,CHE,0.01,0.07
987595,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,0.00,0.00
987595,Kanté,N'Golo Kanté,Midfielder,CHE,0.05,0.08
987595,Loftus-Cheek,Ruben Loftus-Cheek,Midfielder,CHE,0.01,0.00
987595,Hamer,Ben Hamer,Goalkeeper,HUD,0.00,0.00
987595,Zanka,Mathias Jorgensen,Defender,HUD,0.06,0.00
987595,Lowe,Chris Löwe,Defender,HUD,0.05,0.00
987595,Mooy,Aaron Mooy,Midfielder,HUD,0.09,0.00
987595,Hogg,Jonathan Hogg,Midfielder,HUD,0.02,0.00
987595,Schindler,Christopher Schindler,Defender,HUD,0.00,0.00
987595,Pritchard,Alex Pritchard,Midfielder,HUD,0.08,0.03
987595,Kongolo,Terence Kongolo,Defender,HUD,0.02,0.00
987595,Depoitre,Laurent Depoitre,Forward,HUD,0.01,0.07
987595,Billing,Philip Billing,Midfielder,HUD,0.01,0.09
987595,Mounie,Steve Mounie,Forward,HUD,0.01,0.09
987595,Hadergjonaj,Florent Hadergjonaj,Defender,HUD,0.04,0.00
987595,Diakhaby,Adama Diakhaby,Midfielder,HUD,0.00,0.00
987596,Milner,James Milner,Midfielder,LIV,1.15,0.08
987596,Sturridge,Daniel Sturridge,Forward,LIV,0.00,0.64
987596,Wijnaldum,Georginio Wijnaldum,Midfielder,LIV,0.02,0.16
987596,Henderson,Jordan Henderson,Midfielder,LIV,0.00,0.00
987596,Shaqiri,Xherdan Shaqiri,Midfielder,LIV,0.03,0.00
987596,Firmino,Roberto Firmino Barbosa de Oliveira,Forward,LIV,0.84,0.59
987596,van Dijk,Virgil van Dijk,Defender,LIV,0.01,0.00
987596,Mane,Sadio Mane,Midfielder,LIV,0.12,0.98
987596,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,0.00,0.00
987596,Salah,Mohamed Salah,Midfielder,LIV,0.20,1.37
987596,Robertson,Andrew Robertson,Defender,LIV,0.78,0.00
987596,Alexander-Arnold,Trent Alexander-Arnold,Defender,LIV,0.02,0.06
987596,Gomez,Joseph Gomez,Defender,LIV,0.01,0.15
987596,Keita,Naby Keita,Midfielder,LIV,0.22,0.03
987596,Noble,Mark Noble,Midfielder,WHU,0.01,0.00
987596,Snodgrass,Robert Snodgrass,Midfielder,WHU,0.02,0.00
987596,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,0.00,0.00
987596,Ogbonna,Angelo Ogbonna,Defender,WHU,0.18,0.00
987596,Arnautovic,Marko Arnautovic,Forward,WHU,0.00,0.18
987596,Hernández,Javier Hernández,Forward,WHU,0.00,0.00
987596,Wilshere,Jack Wilshere,Midfielder,WHU,0.01,0.00
987596,Yarmolenko,Andriy Yarmolenko,Midfielder,WHU,0.00,0.00
987596,Antonio,Michail Antonio,Midfielder,WHU,0.19,0.45
987596,Fredericks,Ryan Fredericks,Defender,WHU,0.03,0.00
987596,Felipe Anderson,Felipe Anderson Pereira Gomes,Midfielder,WHU,0.36,0.00
987596,Masuaku,Arthur Masuaku,Midfielder,WHU,0.00,0.00
987596,Balbuena,Fabián Balbuena,Defender,WHU,0.00,0.04
987596,Rice,Declan Rice,Defender,WHU,0.00,0.00
987597,Morgan,Wes Morgan,Defender,LEI,0.01,0.00
987597,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,0.00,0.06
987597,Adrien Silva,Adrien Sebastian Perruchet Silva,Midfielder,LEI,0.04,0.00
987597,Iborra,Vicente Iborra,Midfielder,LEI,0.03,0.00
987597,Maguire,Harry Maguire,Defender,LEI,0.01,0.00
987597,Vardy,Jamie Vardy,Forward,LEI,0.08,1.25
987597,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,Defender,LEI,0.24,0.01
987597,Ghezzal,Rachid Ghezzal,Midfielder,LEI,0.01,0.00
987597,Amartey,Daniel Amartey,Midfielder,LEI,0.01,0.00
987597,Gray (Demarai),Demarai Gray,Midfielder,LEI,0.27,0.17
987597,Maddison,James Maddison,Midfielder,LEI,0.05,0.14
987597,Chilwell,Benjamin Chilwell,Defender,LEI,0.08,0.00
987597,Iheanacho,Kelechi Iheanacho,Forward,LEI,0.02,0.07
987597,Ndidi,Onyinye Wilfred Ndidi,Midfielder,LEI,0.12,0.06
987597,Sanchez,Alexis Sánchez,Midfielder,MUN,0.15,0.04
987597,Darmian,Matteo Darmian,Defender,MUN,0.01,0.03
987597,Fellaini,Marouane Fellaini,Midfielder,MUN,0.00,0.00
987597,Mata,Juan Mata,Midfielder,MUN,0.04,0.06
987597,De Gea,David De Gea,Goalkeeper,MUN,0.00,0.00
987597,Lukaku,Romelu Lukaku,Forward,MUN,0.01,0.41
987597,Pogba,Paul Pogba,Midfielder,MUN,0.03,0.81
987597,Fred,Frederico Rodrigues de Paula Santos,Midfielder,MUN,0.02,0.00
987597,Shaw,Luke Shaw,Defender,MUN,0.02,0.17
987597,Pereira (Andreas),Andreas Pereira,Midfielder,MUN,0.02,0.00
987597,Rashford,Marcus Rashford,Forward,MUN,0.01,0.00
987597,Lindelof,Victor Nilsson-Lindelof,Defender,MUN,0.00,0.00
987597,McTominay,Scott McTominay,Midfielder,MUN,0.00,0.00
987597,Bailly,Eric Bailly,Defender,MUN,0.00,0.00
987598,Diamé,Mohamed Diamé,Midfielder,NEW,0.01,0.05
987598,Shelvey,Jonjo Shelvey,Midfielder,NEW,0.24,0.00
987598,Ritchie,Matt Ritchie,Midfielder,NEW,0.30,0.05
987598,Rondón,Salomón Rondón,Forward,NEW,0.01,0.18
987598,Clark,Ciaran Clark,Defender,NEW,0.00,0.08
987598,Joselu,Jose Luis Mato Sanmartín,Forward,NEW,0.08,0.39
987598,Dubravka,Martin Dubravka,Goalkeeper,NEW,0.00,0.00
987598,Lascelles,Jamaal Lascelles,Defender,NEW,0.05,0.00
987598,Atsu,Christian Atsu,Midfielder,NEW,0.05,0.03
987598,Dummett,Paul Dummett,Defender,NEW,0.08,0.02
987598,Yedlin,DeAndre Yedlin,Defender,NEW,0.00,0.02
987598,Kenedy,Robert Kenedy Nunes do Nascimento,Midfielder,NEW,0.01,0.03
987598,Ayoze Pérez,Ayoze Pérez Gutiérrez,Forward,NEW,0.04,0.08
987598,Muto,Yoshinori Muto,Forward,NEW,0.00,0.05
987598,Lloris,Hugo Lloris,Goalkeeper,TOT,0.00,0.00
987598,Dembélé,Moussa Dembélé,Midfielder,TOT,0.00,0.03
987598,Vertonghen,Jan Vertonghen,Defender,TOT,0.00,0.29
987598,Sissoko,Moussa Sissoko,Midfielder,TOT,0.05,0.33
987598,Kane (Harry),Harry Kane,Forward,TOT,0.03,0.12
987598,Aurier,Serge Aurier,Defender,TOT,0.22,0.04
987598,Eriksen,Christian Eriksen,Midfielder,TOT,0.33,0.06
987598,Son,Heung-Min Son,Midfielder,TOT,0.03,0.00
987598,Dier,Eric Dier,Midfielder,TOT,0.02,0.00
987598,Lucas Moura,Lucas Rodrigues Moura da Silva,Midfielder,TOT,0.02,0.06
987598,Alli,Bamidele Alli,Midfielder,TOT,0.01,0.79
987598,Davies (Ben),Ben Davies,Defender,TOT,0.16,0.04
987598,Amos,Luke Amos,Midfielder,TOT,0.00,0.00
987598,Sánchez (Davinson),Davinson Sánchez,Defender,TOT,0.01,0.31
987599,Hart,Joe Hart,Goalkeeper,BUR,0.01,0.00
987599,Lennon,Aaron Lennon,Midfielder,BUR,0.06,0.44
987599,Tarkowski,James Tarkowski,Defender,BUR,0.02,0.06
987599,Cork,Jack Cork,Midfielder,BUR,0.04,0.00
987599,Vokes,Sam Vokes,Forward,BUR,0.00,0.09
987599,Ward (Stephen),Stephen Ward,Defender,BUR,0.03,0.06
987599,Barnes (Ashley),Ashley Barnes,Forward,BUR,0.10,0.03
987599,Mee,Ben Mee,Defender,BUR,0.06,0.08
987599,Westwood,Ashley Roy Westwood,Midfielder,BUR,0.07,0.08
987599,Gudmundsson,Johann Berg Gudmundsson,Midfielder,BUR,0.10,0.32
