match_id,date,team,goals,xg,goals_c,xg_c
987748,8th Dec 2018,LEI,0,0.42,2,0.86
987748,8th Dec 2018,TOT,2,0.86,0,0.42
987749,8th Dec 2018,FUL,1,1.20,4,2.34
987749,8th Dec 2018,MUN,4,2.34,1,1.20
987750,9th Dec 2018,NEW,1,0.61,2,1.80
987750,9th Dec 2018,WOL,2,1.80,1,0.61
987751,8th Dec 2018,CRY,2,0.68,3,1.23
987751,8th Dec 2018,WHU,3,1.23,2,0.68
987752,16th Dec 2018,BHA,1,0.41,2,1.19
987752,16th Dec 2018,CHE,2,1.19,1,0.41
987753,15th Dec 2018,CRY,1,0.48,0,0.98
987753,15th Dec 2018,LEI,0,0.98,1,0.48
987754,15th Dec 2018,FUL,0,1.28,2,0.80
987754,15th Dec 2018,WHU,2,0.80,0,1.28
987755,15th Dec 2018,HUD,0,0.82,1,0.64
987755,15th Dec 2018,NEW,1,0.64,0,0.82
987756,16th Dec 2018,LIV,3,2.55,1,0.74
987756,16th Dec 2018,MUN,1,0.74,3,2.55
987757,15th Dec 2018,EVE,1,1.50,3,1.72
987757,15th Dec 2018,MCI,3,1.72,1,1.50
987758,16th Dec 2018,ARS,2,1.92,3,1.25
987758,16th Dec 2018,SOU,3,1.25,2,1.92
987759,15th Dec 2018,BUR,0,0.48,1,1.65
987759,15th Dec 2018,TOT,1,1.65,0,0.48
987760,15th Dec 2018,CAR,2,1.03,3,1.42
987760,15th Dec 2018,WAT,3,1.42,2,1.03
987761,15th Dec 2018,BOU,0,0.57,2,1.84
987761,15th Dec 2018,WOL,2,1.84,0,0.57
987762,22nd Dec 2018,BOU,2,0.83,0,0.83
987762,22nd Dec 2018,BHA,0,0.83,2,0.83
987763,22nd Dec 2018,ARS,3,1.59,1,1.17
987763,22nd Dec 2018,BUR,1,1.17,3,1.59
987764,22nd Dec 2018,CAR,1,1.41,5,2.76
987764,22nd Dec 2018,MUN,5,2.76,1,1.41
987765,22nd Dec 2018,CHE,0,2.45,1,0.51
987765,22nd Dec 2018,LEI,1,0.51,0,2.45
987766,23rd Dec 2018,EVE,2,0.91,6,1.99
987766,23rd Dec 2018,TOT,6,1.99,2,0.91
987767,22nd Dec 2018,HUD,1,0.80,3,2.52
987767,22nd Dec 2018,SOU,3,2.52,1,0.80
987768,22nd Dec 2018,CRY,3,1.09,2,1.50
987768,22nd Dec 2018,MCI,2,1.50,3,1.09
987769,22nd Dec 2018,FUL,0,0.23,0,0.37
987769,22nd Dec 2018,NEW,0,0.37,0,0.23
987770,22nd Dec 2018,WAT,2,2.29,0,2.22
987770,22nd Dec 2018,WHU,0,2.22,2,2.29
987771,21st Dec 2018,LIV,2,1.96,0,0.86
987771,21st Dec 2018,WOL,0,0.86,2,1.96
987772,26th Dec 2018,ARS,1,0.79,1,1.10
987772,26th Dec 2018,BHA,1,1.10,1,0.79
987773,26th Dec 2018,BUR,1,1.99,5,1.52
987773,26th Dec 2018,EVE,5,1.52,1,1.99
987774,26th Dec 2018,CAR,0,0.86,0,2.10
