match_id,nick_name,full_name,pos,team,saves,pen_saves
987592,Begovic,Asmir Begovic,Goalkeeper,BOU,1,0
987592,Etheridge,Neil Etheridge,Goalkeeper,CAR,2,1
987593,Cech,Petr Cech,Goalkeeper,ARS,6,0
987593,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,3,0
987594,Hennessey,Wayne Hennessey,Goalkeeper,CRY,6,0
987594,Fabri,Fabricio Agosto Ramírez,Goalkeeper,FUL,8,0
987595,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987595,Hamer,Ben Hamer,Goalkeeper,HUD,1,0
987596,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
987596,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,4,0
987597,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,4,0
987597,De Gea,David De Gea,Goalkeeper,MUN,3,0
987598,Dubravka,Martin Dubravka,Goalkeeper,NEW,4,0
987598,Lloris,Hugo Lloris,Goalkeeper,TOT,1,0
987599,Hart,Joe Hart,Goalkeeper,BUR,3,0
987599,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,6,0
987600,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,3,0
987600,Foster,Ben Foster,Goalkeeper,WAT,0,0
987601,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
987601,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,3,0
987602,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,1,0
987602,De Gea,David De Gea,Goalkeeper,MUN,0,0
987603,Hart,Joe Hart,Goalkeeper,BUR,3,0
987603,Foster,Ben Foster,Goalkeeper,WAT,2,0
987604,Etheridge,Neil Etheridge,Goalkeeper,CAR,6,1
987604,Dubravka,Martin Dubravka,Goalkeeper,NEW,0,0
987605,Cech,Petr Cech,Goalkeeper,ARS,8,0
987605,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,4,0
987606,Hennessey,Wayne Hennessey,Goalkeeper,CRY,4,0
987606,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
987607,Pickford,Jordan Pickford,Goalkeeper,EVE,3,0
987607,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,5,0
987608,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
987608,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,1,0
987609,Hamer,Ben Hamer,Goalkeeper,HUD,9,0
987609,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
987610,Fabri,Fabricio Agosto Ramírez,Goalkeeper,FUL,8,0
987610,Lloris,Hugo Lloris,Goalkeeper,TOT,2,0
987611,Begovic,Asmir Begovic,Goalkeeper,BOU,4,0
987611,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
987612,Begovic,Asmir Begovic,Goalkeeper,BOU,1,0
987612,Pickford,Jordan Pickford,Goalkeeper,EVE,4,0
987613,Cech,Petr Cech,Goalkeeper,ARS,4,0
987613,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,9,0
987614,Hart,Joe Hart,Goalkeeper,BUR,8,0
987614,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,0,0
987615,Etheridge,Neil Etheridge,Goalkeeper,CAR,1,0
987615,Hamer,Ben Hamer,Goalkeeper,HUD,1,0
987615,Lössl,Jonas Lössl,Goalkeeper,HUD,3,0
987616,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,6,0
987616,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
987617,De Gea,David De Gea,Goalkeeper,MUN,2,0
987617,Lloris,Hugo Lloris,Goalkeeper,TOT,5,0
987618,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987618,Dubravka,Martin Dubravka,Goalkeeper,NEW,2,0
987619,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,4,0
987619,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,3,0
987620,Hennessey,Wayne Hennessey,Goalkeeper,CRY,3,0
987620,Foster,Ben Foster,Goalkeeper,WAT,2,0
987621,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
987621,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,5,0
987622,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,3,0
987622,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,3,1
987623,Hart,Joe Hart,Goalkeeper,BUR,7,1
987623,De Gea,David De Gea,Goalkeeper,MUN,3,0
987624,Cech,Petr Cech,Goalkeeper,ARS,1,0
987624,Etheridge,Neil Etheridge,Goalkeeper,CAR,8,0
987625,Begovic,Asmir Begovic,Goalkeeper,BOU,4,0
987625,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987626,Hennessey,Wayne Hennessey,Goalkeeper,CRY,5,1
987626,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,6,0
987627,Pickford,Jordan Pickford,Goalkeeper,EVE,5,0
987627,Lössl,Jonas Lössl,Goalkeeper,HUD,0,0
987628,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
987628,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,4,0
987629,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
987629,Dubravka,Martin Dubravka,Goalkeeper,NEW,6,0
987630,Vorm,Michel Vorm,Goalkeeper,TOT,1,0
987630,Foster,Ben Foster,Goalkeeper,WAT,3,0
987631,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,5,0
987631,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,3,0
987632,Begovic,Asmir Begovic,Goalkeeper,BOU,5,0
987632,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,1,0
987633,Etheridge,Neil Etheridge,Goalkeeper,CAR,3,0
987633,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987634,Pickford,Jordan Pickford,Goalkeeper,EVE,1,0
987634,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
987635,Hennessey,Wayne Hennessey,Goalkeeper,CRY,2,0
987635,Lössl,Jonas Lössl,Goalkeeper,HUD,1,0
987636,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,6,0
987636,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,3,0
987637,Cech,Petr Cech,Goalkeeper,ARS,1,0
987637,Dubravka,Martin Dubravka,Goalkeeper,NEW,0,0
987638,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,2,0
987638,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,2,0
987639,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
987639,Vorm,Michel Vorm,Goalkeeper,TOT,8,0
987640,De Gea,David De Gea,Goalkeeper,MUN,4,0
987640,Foster,Ben Foster,Goalkeeper,WAT,4,0
987641,Hart,Joe Hart,Goalkeeper,BUR,6,0
987641,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,2,0
987642,Cech,Petr Cech,Goalkeeper,ARS,6,0
987642,Pickford,Jordan Pickford,Goalkeeper,EVE,3,0
987643,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,5,0
987643,Gazzaniga,Paulo Gazzaniga,Goalkeeper,TOT,3,0
987644,Begovic,Asmir Begovic,Goalkeeper,BOU,1,0
987644,Hart,Joe Hart,Goalkeeper,BUR,5,0
987645,Etheridge,Neil Etheridge,Goalkeeper,CAR,5,0
987645,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,2,0
987646,Hennessey,Wayne Hennessey,Goalkeeper,CRY,3,0
987646,Dubravka,Martin Dubravka,Goalkeeper,NEW,4,0
987647,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,5,0
987647,Foster,Ben Foster,Goalkeeper,WAT,2,0
987648,Lössl,Jonas Lössl,Goalkeeper,HUD,5,0
987648,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,1,0
987649,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,1,0
987649,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,1,0
987650,De Gea,David De Gea,Goalkeeper,MUN,7,0
987650,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,5,0
987651,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987651,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,6,0
987652,Begovic,Asmir Begovic,Goalkeeper,BOU,1,0
987652,Hennessey,Wayne Hennessey,Goalkeeper,CRY,3,0
987653,Cech,Petr Cech,Goalkeeper,ARS,2,0
987653,Leno,Bernd Leno,Goalkeeper,ARS,3,0
987653,Foster,Ben Foster,Goalkeeper,WAT,1,0
987654,Hart,Joe Hart,Goalkeeper,BUR,3,0
987654,Etheridge,Neil Etheridge,Goalkeeper,CAR,0,0
987655,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,3,0
987655,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
987656,Pickford,Jordan Pickford,Goalkeeper,EVE,0,0
987656,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,3,0
987657,Lössl,Jonas Lössl,Goalkeeper,HUD,4,0
987657,Gazzaniga,Paulo Gazzaniga,Goalkeeper,TOT,5,0
987658,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,6,0
987658,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
987659,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,1,0
987659,Dubravka,Martin Dubravka,Goalkeeper,NEW,3,0
987660,De Gea,David De Gea,Goalkeeper,MUN,1,0
987660,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
987661,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,4,0
987661,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,6,0
987662,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,4,0
987662,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
987663,Hart,Joe Hart,Goalkeeper,BUR,1,0
987663,Lössl,Jonas Lössl,Goalkeeper,HUD,2,0
987664,Hennessey,Wayne Hennessey,Goalkeeper,CRY,1,0
987664,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,4,0
987665,Leno,Bernd Leno,Goalkeeper,ARS,3,0
987665,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,2,0
987666,Pickford,Jordan Pickford,Goalkeeper,EVE,1,0
987666,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,6,0
987667,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
987667,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,2,0
987668,De Gea,David De Gea,Goalkeeper,MUN,6,0
987668,Dubravka,Martin Dubravka,Goalkeeper,NEW,7,0
987669,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,6,0
987669,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,3,0
987670,Etheridge,Neil Etheridge,Goalkeeper,CAR,5,0
987670,Lloris,Hugo Lloris,Goalkeeper,TOT,5,0
987671,Begovic,Asmir Begovic,Goalkeeper,BOU,2,0
987671,Foster,Ben Foster,Goalkeeper,WAT,3,0
987672,Begovic,Asmir Begovic,Goalkeeper,BOU,4,0
987672,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,2,0
987673,Leno,Bernd Leno,Goalkeeper,ARS,2,0
987673,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,3,0
987674,Etheridge,Neil Etheridge,Goalkeeper,CAR,2,0
987674,Bettinelli,Marcus Bettinelli,Goalkeeper,FUL,1,0
987675,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,2,0
987675,De Gea,David De Gea,Goalkeeper,MUN,4,0
987676,Hennessey,Wayne Hennessey,Goalkeeper,CRY,2,0
987676,Pickford,Jordan Pickford,Goalkeeper,EVE,4,1
987677,Lössl,Jonas Lössl,Goalkeeper,HUD,1,0
987677,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,1,0
987678,Hart,Joe Hart,Goalkeeper,BUR,5,0
987678,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
987679,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,6,0
987679,Dubravka,Martin Dubravka,Goalkeeper,NEW,1,0
987680,Lloris,Hugo Lloris,Goalkeeper,TOT,4,0
987680,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,1,0
987681,Foster,Ben Foster,Goalkeeper,WAT,1,0
987681,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,1,0
987682,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,7,0
987682,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,0,0
987683,Hart,Joe Hart,Goalkeeper,BUR,4,0
987683,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987684,Leno,Bernd Leno,Goalkeeper,ARS,1,0
987684,Hennessey,Wayne Hennessey,Goalkeeper,CRY,0,0
987685,Begovic,Asmir Begovic,Goalkeeper,BOU,1,0
987685,Sergio Rico,Sergio Rico González,Goalkeeper,FUL,2,0
987686,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
987686,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,7,0
987687,Etheridge,Neil Etheridge,Goalkeeper,CAR,2,0
987687,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,0,0
987688,Pickford,Jordan Pickford,Goalkeeper,EVE,8,1
987688,De Gea,David De Gea,Goalkeeper,MUN,6,0
987689,Dubravka,Martin Dubravka,Goalkeeper,NEW,5,0
987689,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,0,0
987690,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
987690,Lloris,Hugo Lloris,Goalkeeper,TOT,4,0
987691,Lössl,Jonas Lössl,Goalkeeper,HUD,3,0
987691,Foster,Ben Foster,Goalkeeper,WAT,7,0
987692,Begovic,Asmir Begovic,Goalkeeper,BOU,4,0
987692,De Gea,David De Gea,Goalkeeper,MUN,6,0
987693,Leno,Bernd Leno,Goalkeeper,ARS,3,0
987693,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
987694,Etheridge,Neil Etheridge,Goalkeeper,CAR,3,0
987694,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
987695,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987695,Hennessey,Wayne Hennessey,Goalkeeper,CRY,3,0
987696,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,0,0
987696,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
987697,Sergio Rico,Sergio Rico González,Goalkeeper,FUL,2,0
987697,Lössl,Jonas Lössl,Goalkeeper,HUD,1,0
987698,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,5,0
987698,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,3,0
987699,Dubravka,Martin Dubravka,Goalkeeper,NEW,1,0
987699,Foster,Ben Foster,Goalkeeper,WAT,1,0
987700,Hart,Joe Hart,Goalkeeper,BUR,5,0
987700,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,1,0
987701,Lloris,Hugo Lloris,Goalkeeper,TOT,5,0
987701,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,5,0
987702,Leno,Bernd Leno,Goalkeeper,ARS,4,0
987702,Rui Patrício,Rui Pedro dos Santos Patrício,Goalkeeper,WOL,2,0
987703,Mat Ryan,Mathew Ryan,Goalkeeper,BHA,3,0
987703,Etheridge,Neil Etheridge,Goalkeeper,CAR,2,0
987704,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,CHE,1,0
987704,Pickford,Jordan Pickford,Goalkeeper,EVE,4,0
987705,Hennessey,Wayne Hennessey,Goalkeeper,CRY,1,0
987705,Lloris,Hugo Lloris,Goalkeeper,TOT,5,0
987706,Lössl,Jonas Lössl,Goalkeeper,HUD,2,0
987706,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,6,0
987707,Hart,Joe Hart,Goalkeeper,BUR,5,0
987707,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,2,0
987708,Sergio Rico,Sergio Rico González,Goalkeeper,FUL,5,0
987708,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
987709,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
987709,De Gea,David De Gea,Goalkeeper,MUN,2,0
987710,Begovic,Asmir Begovic,Goalkeeper,BOU,6,0
987710,Dubravka,Martin Dubravka,Goalkeeper,NEW,3,0
987711,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,5,0
987711,Foster,Ben Foster,Goalkeeper,WAT,3,0
987712,Leno,Bernd Leno,Goalkeeper,ARS,5,0
