match_id,date,team,goals,xg,goals_c,xg_c
2210271,13th Aug 2021,ARS,0,1.28,2,1.24
2210271,13th Aug 2021,BRE,2,1.24,0,1.28
2210272,14th Aug 2021,BHA,2,1.05,1,1.45
2210272,14th Aug 2021,BUR,1,1.45,2,1.05
2210273,14th Aug 2021,CHE,3,0.68,0,0.22
2210273,14th Aug 2021,CRY,0,0.22,3,0.68
2210274,14th Aug 2021,EVE,3,2.42,1,0.85
2210274,14th Aug 2021,SOU,1,0.85,3,2.42
2210275,14th Aug 2021,LEI,1,0.49,0,1.33
2210275,14th Aug 2021,WOL,0,1.33,1,0.49
2210276,14th Aug 2021,LEE,1,0.52,5,1.50
2210276,14th Aug 2021,MUN,5,1.50,1,0.52
2210277,15th Aug 2021,NEW,2,1.83,4,2.92
2210277,15th Aug 2021,WHU,4,2.92,2,1.83
2210278,14th Aug 2021,LIV,3,1.66,0,1.42
2210278,14th Aug 2021,NOR,0,1.42,3,1.66
2210279,15th Aug 2021,MCI,0,1.78,1,1.05
2210279,15th Aug 2021,TOT,1,1.05,0,1.78
2210280,14th Aug 2021,AVL,2,1.19,3,1.17
2210280,14th Aug 2021,WAT,3,1.17,2,1.19
2210281,22nd Aug 2021,ARS,0,0.33,2,3.13
2210281,22nd Aug 2021,CHE,2,3.13,0,0.33
2210282,21st Aug 2021,AVL,2,1.34,0,0.70
2210282,21st Aug 2021,NEW,0,0.70,2,1.34
2210283,21st Aug 2021,BHA,2,1.34,0,1.03
2210283,21st Aug 2021,WAT,0,1.03,2,1.34
2210284,21st Aug 2021,BRE,0,0.86,0,0.52
2210284,21st Aug 2021,CRY,0,0.52,0,0.86
2210285,21st Aug 2021,EVE,2,1.82,2,1.25
2210285,21st Aug 2021,LEE,2,1.25,2,1.82
2210286,21st Aug 2021,BUR,0,0.91,2,2.80
2210286,21st Aug 2021,LIV,2,2.80,0,0.91
2210287,21st Aug 2021,MCI,5,2.65,0,0.06
2210287,21st Aug 2021,NOR,0,0.06,5,2.65
2210288,22nd Aug 2021,MUN,1,1.86,1,0.68
2210288,22nd Aug 2021,SOU,1,0.68,1,1.86
2210289,23rd Aug 2021,LEI,1,0.59,4,2.33
2210289,23rd Aug 2021,WHU,4,2.33,1,0.59
2210290,22nd Aug 2021,TOT,1,1.71,0,1.83
2210290,22nd Aug 2021,WOL,0,1.83,1,1.71
2210291,28th Aug 2021,AVL,1,0.73,1,0.87
2210291,28th Aug 2021,BRE,1,0.87,1,0.73
2210292,28th Aug 2021,BHA,0,0.79,2,1.43
2210292,28th Aug 2021,EVE,2,1.43,0,0.79
2210293,29th Aug 2021,BUR,1,1.12,1,1.29
2210293,29th Aug 2021,LEE,1,1.29,1,1.12
2210294,28th Aug 2021,CHE,1,0.64,1,2.99
2210294,28th Aug 2021,LIV,1,2.99,1,0.64
2210295,28th Aug 2021,ARS,0,0.21,5,4.02
2210295,28th Aug 2021,MCI,5,4.02,0,0.21
2210296,28th Aug 2021,NEW,2,0.98,2,3.66
2210296,28th Aug 2021,SOU,2,3.66,2,0.98
2210297,28th Aug 2021,LEI,2,1.46,1,1.53
2210297,28th Aug 2021,NOR,1,1.53,2,1.46
2210298,29th Aug 2021,TOT,1,0.99,0,0.78
2210298,29th Aug 2021,WAT,0,0.78,1,0.99
2210299,28th Aug 2021,CRY,2,1.15,2,1.34
2210299,28th Aug 2021,WHU,2,1.34,2,1.15
2210300,29th Aug 2021,MUN,1,0.64,0,2.12
2210300,29th Aug 2021,WOL,0,2.12,1,0.64
2210301,11th Sep 2021,ARS,1,2.77,0,0.71
2210301,11th Sep 2021,NOR,0,0.71,1,2.77
2210302,11th Sep 2021,BRE,0,0.41,1,0.28
2210302,11th Sep 2021,BHA,1,0.28,0,0.41
2210303,11th Sep 2021,AVL,0,1.19,3,1.27
2210303,11th Sep 2021,CHE,3,1.27,0,1.19
2210304,11th Sep 2021,CRY,3,2.21,0,0.06
2210304,11th Sep 2021,TOT,0,0.06,3,2.21
2210305,13th Sep 2021,BUR,1,1.02,3,1.45
2210305,13th Sep 2021,EVE,3,1.45,1,1.02
2210306,12th Sep 2021,LEE,0,1.23,3,4.54
2210306,12th Sep 2021,LIV,3,4.54,0,1.23
2210307,11th Sep 2021,LEI,0,0.66,1,2.98
2210307,11th Sep 2021,MCI,1,2.98,0,0.66
2210308,11th Sep 2021,MUN,4,2.55,1,0.42
2210308,11th Sep 2021,NEW,1,0.42,4,2.55
2210309,11th Sep 2021,SOU,0,0.72,0,0.72
2210309,11th Sep 2021,WHU,0,0.72,0,0.72
2210310,11th Sep 2021,WAT,0,0.22,2,2.40
2210310,11th Sep 2021,WOL,2,2.40,0,0.22
2210311,18th Sep 2021,AVL,3,0.85,0,0.75
2210311,18th Sep 2021,EVE,0,0.75,3,0.85
2210312,19th Sep 2021,BHA,2,1.72,1,1.49
2210312,19th Sep 2021,LEI,1,1.49,2,1.72
