match_id,nick_name,full_name,pos,team,saves,pen_saves
2210271,Leno,Bernd Leno,Goalkeeper,ARS,1,0
2210271,Raya Martin,David Raya Martin,Goalkeeper,BRE,4,0
2210272,Sanchez,Robert Sanchez,Goalkeeper,BHA,2,0
2210272,Pope,Nick Pope,Goalkeeper,BUR,4,0
2210273,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,1,0
2210273,Guaita,Vicente Guaita,Goalkeeper,CRY,3,0
2210274,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
2210274,McCarthy (Alex),Alex McCarthy,Goalkeeper,SOU,3,0
2210275,Schmeichel,Kasper Schmeichel,Goalkeeper,LEI,3,0
2210275,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,4,0
2210276,Meslier,Illan Meslier,Goalkeeper,LEE,3,0
2210276,De Gea,David De Gea,Goalkeeper,MUN,2,0
2210277,Woodman,Freddie Woodman,Goalkeeper,NEW,4,1
2210277,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,1,0
2210278,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
2210278,Krul,Tim Krul,Goalkeeper,NOR,3,0
2210279,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2210279,Lloris,Hugo Lloris,Goalkeeper,TOT,4,0
2210280,Martinez,Emiliano Martinez,Goalkeeper,AVL,4,0
2210280,Bachmann,Daniel Bachmann,Goalkeeper,WAT,0,0
2210281,Leno,Bernd Leno,Goalkeeper,ARS,3,0
2210281,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,3,0
2210282,Martinez,Emiliano Martinez,Goalkeeper,AVL,1,0
2210282,Woodman,Freddie Woodman,Goalkeeper,NEW,0,0
2210283,Sanchez,Robert Sanchez,Goalkeeper,BHA,1,0
2210283,Bachmann,Daniel Bachmann,Goalkeeper,WAT,1,0
2210284,Raya Martin,David Raya Martin,Goalkeeper,BRE,2,0
2210284,Guaita,Vicente Guaita,Goalkeeper,CRY,3,0
2210285,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
2210285,Meslier,Illan Meslier,Goalkeeper,LEE,6,0
2210286,Pope,Nick Pope,Goalkeeper,BUR,6,0
2210286,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
2210287,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
