match_id,nick_name,full_name,pos,team,saves,pen_saves
2444470,Leno,Bernd Leno,Goalkeeper,FUL,5,0
2444470,Onana,André Onana,Goalkeeper,MUN,2,0
2444471,Raya Martin,David Raya Martin,Goalkeeper,ARS,3,0
2444471,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,4,0
2444472,Steele,Jason Steele,Goalkeeper,BHA,1,0
2444472,Pickford,Jordan Pickford,Goalkeeper,EVE,2,0
2444473,Walton,Christian Walton,Goalkeeper,IPS,3,0
2444473,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
2444474,Pope,Nick Pope,Goalkeeper,NEW,3,0
2444474,McCarthy,Alex McCarthy,Goalkeeper,SOU,0,0
2444475,Neto,Norberto Murara Neto,Goalkeeper,BOU,7,0
2444475,Sels,Matz Sels,Goalkeeper,NFO,3,0
2444476,Martinez,Emiliano Martinez,Goalkeeper,AVL,3,0
2444476,Areola,Alphonse Areola,Goalkeeper,WHU,1,0
2444477,Flekken,Mark Flekken,Goalkeeper,BRE,6,0
2444477,Henderson,Dean Henderson,Goalkeeper,CRY,3,0
2444478,Sanchez,Robert Sanchez,Goalkeeper,CHE,3,0
2444478,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,3,0
2444479,Hermansen,Mads Hermansen,Goalkeeper,LEI,5,0
2444479,Vicario,Guglielmo Vicario,Goalkeeper,TOT,2,0
2444480,Neto,Norberto Murara Neto,Goalkeeper,BOU,4,0
2444480,Pope,Nick Pope,Goalkeeper,NEW,3,0
2444481,Raya Martin,David Raya Martin,Goalkeeper,ARS,3,0
2444481,Martinez,Emiliano Martinez,Goalkeeper,AVL,2,0
2444482,Steele,Jason Steele,Goalkeeper,BHA,2,0
2444482,Onana,André Onana,Goalkeeper,MUN,2,0
2444483,Henderson,Dean Henderson,Goalkeeper,CRY,1,0
2444483,Areola,Alphonse Areola,Goalkeeper,WHU,2,0
2444484,Leno,Bernd Leno,Goalkeeper,FUL,3,0
2444484,Hermansen,Mads Hermansen,Goalkeeper,LEI,4,0
2444485,Flekken,Mark Flekken,Goalkeeper,BRE,6,0
2444485,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
2444486,Muric,Arijanet Muric,Goalkeeper,IPS,1,0
2444486,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
2444487,Sels,Matz Sels,Goalkeeper,NFO,1,0
2444487,McCarthy,Alex McCarthy,Goalkeeper,SOU,7,0
2444488,Pickford,Jordan Pickford,Goalkeeper,EVE,3,0
2444488,Vicario,Guglielmo Vicario,Goalkeeper,TOT,1,0
2444489,Sanchez,Robert Sanchez,Goalkeeper,CHE,2,0
2444489,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,2,0
2444490,Raya Martin,David Raya Martin,Goalkeeper,ARS,4,0
2444490,Verbruggen,Bart Verbruggen,Goalkeeper,BHA,6,0
2444491,Flekken,Mark Flekken,Goalkeeper,BRE,5,0
2444491,Ramsdale,Aaron Ramsdale,Goalkeeper,SOU,4,0
2444492,Sanchez,Robert Sanchez,Goalkeeper,CHE,2,0
2444492,Henderson,Dean Henderson,Goalkeeper,CRY,6,0
2444493,Kepa,Kepa Arrizabalaga Revuelta,Goalkeeper,BOU,6,0
2444493,Pickford,Jordan Pickford,Goalkeeper,EVE,4,0
2444494,Leno,Bernd Leno,Goalkeeper,FUL,3,0
2444494,Muric,Arijanet Muric,Goalkeeper,IPS,3,0
2444495,Martinez,Emiliano Martinez,Goalkeeper,AVL,2,0
2444495,Hermansen,Mads Hermansen,Goalkeeper,LEI,3,0
