match_id,nick_name,full_name,pos,team,bps
2444470,Cairney,Tom Cairney,Midfielder,FUL,2
2444470,Leno,Bernd Leno,Goalkeeper,FUL,12
2444470,Raúl Jiménez,Raul Alonso Jimenez Rodriguez,Forward,FUL,3
2444470,Iwobi,Alex Iwobi,Midfielder,FUL,5
2444470,Reed,Harrison Reed,Midfielder,FUL,4
2444470,Wilson (Harry),Harry Wilson,Midfielder,FUL,4
2444470,Pereira,Andreas Pereira,Midfielder,FUL,14
2444470,Traoré (Adama),Adama Traoré,Midfielder,FUL,5
2444470,Tete,Kenny Tete,Defender,FUL,7
2444470,Robinson (Antonee),Antonee Robinson,Defender,FUL,14
2444470,Smith-Rowe,Emile Smith-Rowe,Midfielder,FUL,11
2444470,Lukic,Sasa Lukic,Midfielder,FUL,16
2444470,Diop,Issa Diop,Defender,FUL,13
2444470,Bassey,Calvin Bassey,Defender,FUL,5
2444470,Rodrigo Muniz,Rodrigo Muniz Carvalho,Forward,FUL,10
2444470,Stansfield,Jay Stansfield,Forward,FUL,2
2444470,Evans (Jonny),Jonny Evans,Defender,MUN,2
2444470,Casemiro,Carlos Henrique Jose Francisco Venancio,Midfielder,MUN,19
2444470,Maguire,Harry Maguire,Defender,MUN,22
2444470,Bruno Fernandes,Bruno Miguel Borges Fernandes,Midfielder,MUN,10
2444470,Rashford,Marcus Rashford,Midfielder,MUN,4
2444470,Mount,Mason Mount,Midfielder,MUN,-1
2444470,McTominay,Scott McTominay,Midfielder,MUN,3
2444470,Onana,André Onana,Goalkeeper,MUN,25
2444470,de Ligt,Matthijs de Ligt,Defender,MUN,3
2444470,Dalot,José Diogo Dalot Teixeira,Defender,MUN,26
2444470,Martínez,Lisandro Martínez,Defender,MUN,26
2444470,Mazraoui,Noussair Mazraoui,Defender,MUN,32
2444470,Zirkzee,Joshua Zirkzee,Forward,MUN,33
2444470,Garnacho,Alejandro Garnacho Ferreyra,Midfielder,MUN,10
2444470,Amad Diallo,Amad Diallo Traore,Midfielder,MUN,11
2444470,Mainoo,Kobbie Mainoo,Midfielder,MUN,21
2444471,Trossard,Leandro Trossard,Midfielder,ARS,2
2444471,Raya Martin,David Raya Martin,Goalkeeper,ARS,28
2444471,Partey,Thomas Partey,Midfielder,ARS,16
2444471,Odegaard,Martin Odegaard,Midfielder,ARS,16
2444471,White (Ben),Ben White,Defender,ARS,22
2444471,Rice,Declan Rice,Midfielder,ARS,9
2444471,Jesus,Gabriel Fernando de Jesus,Forward,ARS,1
2444471,Zinchenko,Oleksandr Zinchenko,Defender,ARS,22
2444471,Havertz,Kai Havertz,Forward,ARS,48
2444471,Saka,Bukayo Saka,Midfielder,ARS,42
2444471,Gabriel Magalhães,Gabriel dos Santos Magalhães,Defender,ARS,22
2444471,Martinelli,Gabriel Teodoro Martinelli Silva,Midfielder,ARS,13
2444471,Jurriën Timber,Jurriën Timber,Defender,ARS,2
2444471,Saliba,William Saliba,Defender,ARS,26
2444471,Dawson,Craig Dawson,Defender,WOL,2
2444471,Doherty,Matt Doherty,Defender,WOL,7
2444471,Sarabia,Pablo Sarabia,Midfielder,WOL,6
2444471,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,10
2444471,Lemina (Mario),Mario Lemina,Midfielder,WOL,16
2444471,Hwang Hee-Chan,Hee-Chan Hwang,Midfielder,WOL,14
2444471,Podence,Daniel Podence,Midfielder,WOL,2
2444471,Bellegarde,Jean-Ricner Bellegarde,Midfielder,WOL,1
2444471,Strand Larsen,Jørgen Strand Larsen,Forward,WOL,2
2444471,Matheus Cunha,Matheus Santos Carneiro Da Cunha,Forward,WOL,8
2444471,João Gomes,João Victor Gomes da Silva,Midfielder,WOL,11
2444471,Ait Nouri,Rayan Ait Nouri,Defender,WOL,6
2444471,Rodrigo Gomes,Rodrigo Martins Gomes,Midfielder,WOL,6
2444471,Mosquera,Yerson Mosquera,Defender,WOL,8
2444471,Toti,Toti António Gomes,Defender,WOL,-6
2444471,Chiquinho,Francisco Jorge Tomás Oliveira,Midfielder,WOL,4
2444472,Milner,James Milner,Midfielder,BHA,10
2444472,Steele,Jason Steele,Goalkeeper,BHA,31
2444472,Welbeck,Danny Welbeck,Forward,BHA,41
2444472,Dunk,Lewis Dunk,Defender,BHA,23
2444472,Webster,Adam Webster,Defender,BHA,9
2444472,Veltman,Joël Veltman,Defender,BHA,34
2444472,Gilmour,Billy Gilmour,Midfielder,BHA,4
2444472,Sarmiento,Jeremy Sarmiento,Midfielder,BHA,3
2444472,Mitoma,Kaoru Mitoma,Midfielder,BHA,27
2444472,Wieffer,Mats Wieffer,Midfielder,BHA,20
2444472,van Hecke,Jan-Paul van Hecke,Defender,BHA,28
2444472,João Pedro,João Pedro Junqueira de Jesus,Forward,BHA,9
2444472,Ayari,Yasin Ayari,Midfielder,BHA,0
2444472,Hinshelwood,Jack Hinshelwood,Midfielder,BHA,14
