match_id,date,team,goals,xg,goals_c,xg_c
1059702,9th Aug 2019,LIV,4,1.84,1,0.92
1059702,9th Aug 2019,NOR,1,0.92,4,1.84
1059703,10th Aug 2019,BOU,1,1.50,1,1.41
1059703,10th Aug 2019,SHU,1,1.41,1,1.50
1059704,10th Aug 2019,BUR,3,0.91,0,1.17
1059704,10th Aug 2019,SOU,0,1.17,3,0.91
1059705,10th Aug 2019,CRY,0,0.94,0,1.17
1059705,10th Aug 2019,EVE,0,1.17,0,0.94
1059706,11th Aug 2019,LEI,0,0.72,0,0.70
1059706,11th Aug 2019,WOL,0,0.70,0,0.72
1059707,10th Aug 2019,AVL,1,0.66,3,2.46
1059707,10th Aug 2019,TOT,3,2.46,1,0.66
1059708,10th Aug 2019,BHA,3,0.84,0,0.70
1059708,10th Aug 2019,WAT,0,0.70,3,0.84
1059709,10th Aug 2019,MCI,5,3.20,0,1.08
1059709,10th Aug 2019,WHU,0,1.08,5,3.20
1059710,11th Aug 2019,CHE,0,1.04,4,2.17
1059710,11th Aug 2019,MUN,4,2.17,0,1.04
1059711,11th Aug 2019,ARS,1,1.08,0,0.39
1059711,11th Aug 2019,NEW,0,0.39,1,1.08
1059712,17th Aug 2019,ARS,2,0.84,1,1.52
1059712,17th Aug 2019,BUR,1,1.52,2,0.84
1059713,17th Aug 2019,AVL,1,2.03,2,1.64
1059713,17th Aug 2019,BOU,2,1.64,1,2.03
1059714,17th Aug 2019,BHA,1,2.00,1,0.83
1059714,17th Aug 2019,WHU,1,0.83,1,2.00
1059715,18th Aug 2019,CHE,1,1.06,1,0.78
1059715,18th Aug 2019,LEI,1,0.78,1,1.06
1059716,17th Aug 2019,EVE,1,0.67,0,1.23
1059716,17th Aug 2019,WAT,0,1.23,1,0.67
1059717,17th Aug 2019,MCI,2,2.97,2,0.13
1059717,17th Aug 2019,TOT,2,0.13,2,2.97
1059718,17th Aug 2019,NEW,1,0.95,3,1.70
1059718,17th Aug 2019,NOR,3,1.70,1,0.95
1059719,18th Aug 2019,CRY,0,0.27,1,2.18
1059719,18th Aug 2019,SHU,1,2.18,0,0.27
1059720,17th Aug 2019,LIV,2,1.29,1,1.94
1059720,17th Aug 2019,SOU,1,1.94,2,1.29
1059721,19th Aug 2019,MUN,1,1.16,1,0.27
1059721,19th Aug 2019,WOL,1,0.27,1,1.16
1059722,25th Aug 2019,BOU,1,2.19,3,3.09
1059722,25th Aug 2019,MCI,3,3.09,1,2.19
1059723,23rd Aug 2019,AVL,2,1.05,0,1.26
1059723,23rd Aug 2019,EVE,0,1.26,2,1.05
1059724,24th Aug 2019,BHA,0,0.81,2,2.11
1059724,24th Aug 2019,SOU,2,2.11,0,0.81
1059725,24th Aug 2019,ARS,1,1.02,3,2.51
1059725,24th Aug 2019,LIV,3,2.51,1,1.02
1059726,24th Aug 2019,CRY,2,1.08,1,2.53
1059726,24th Aug 2019,MUN,1,2.53,2,1.08
1059727,24th Aug 2019,CHE,3,1.50,2,1.06
1059727,24th Aug 2019,NOR,2,1.06,3,1.50
