match_id,nick_name,full_name,pos,team,bps
1059702,Milner,James Milner,Midfielder,LIV,3
1059702,Wijnaldum,Georginio Wijnaldum,Midfielder,LIV,13
1059702,Henderson (Jordan),Jordan Henderson,Midfielder,LIV,16
1059702,Adrián,Adrián San Miguel del Castillo,Goalkeeper,LIV,3
1059702,Firmino,Roberto Firmino Barbosa de Oliveira,Forward,LIV,26
1059702,van Dijk,Virgil van Dijk,Defender,LIV,25
1059702,Mane,Sadio Mane,Midfielder,LIV,3
1059702,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,6
1059702,Fabinho,Fabio Henrique Tavares,Midfielder,LIV,19
1059702,Salah,Mohamed Salah,Midfielder,LIV,43
1059702,Robertson,Andrew Robertson,Defender,LIV,11
1059702,Origi,Divock Origi,Forward,LIV,50
1059702,Alexander-Arnold,Trent Alexander-Arnold,Defender,LIV,25
1059702,Gomez,Joseph Gomez,Defender,LIV,6
1059702,Krul,Tim Krul,Goalkeeper,NOR,3
1059702,Pukki,Teemu Pukki,Forward,NOR,35
1059702,Stiepermann,Marco Stiepermann,Midfielder,NOR,4
1059702,Kenny McLean,Kenneth McLean,Midfielder,NOR,13
1059702,Drmic,Josip Drmic,Forward,NOR,3
1059702,Hanley,Grant Hanley,Defender,NOR,-14
1059702,Leitner,Moritz Leitner,Midfielder,NOR,-1
1059702,Hernández (Onel),Onel Hernández,Midfielder,NOR,1
1059702,Trybull,Tom Trybull,Midfielder,NOR,12
1059702,Cantwell,Todd Cantwell,Midfielder,NOR,14
1059702,Lewis (Jamal),Jamal Lewis,Defender,NOR,-1
1059702,Buendía,Emiliano Buendía,Midfielder,NOR,21
1059702,Godfrey,Ben Godfrey,Defender,NOR,3
1059702,Aarons (Maximillian),Maximillian Aarons,Defender,NOR,0
1059703,Smith (Adam),Adam Smith,Defender,BOU,8
1059703,Cook (Steve),Steve Cook,Defender,BOU,9
1059703,Wilson (Callum),Callum Wilson,Forward,BOU,10
1059703,King (Joshua),Joshua King,Forward,BOU,7
1059703,Fraser,Ryan Fraser,Midfielder,BOU,5
1059703,Aké,Nathan Aké,Defender,BOU,18
1059703,Lerma,Jefferson Lerma,Midfielder,BOU,18
1059703,Solanke,Dominic Solanke,Forward,BOU,4
1059703,Billing,Philip Billing,Midfielder,BOU,17
1059703,Rico,Diego Rico,Defender,BOU,9
1059703,Mepham,Chris Mepham,Defender,BOU,26
1059703,Ramsdale,Aaron Ramsdale,Goalkeeper,BOU,8
1059703,Sharp,Billy Sharp,Forward,SHU,28
1059703,McGoldrick,David McGoldrick,Forward,SHU,5
1059703,Basham,Chris Basham,Defender,SHU,6
1059703,Fleck,John Fleck,Midfielder,SHU,9
1059703,Freeman (Luke),Luke Freeman,Midfielder,SHU,4
1059703,Stevens,Enda Stevens,Defender,SHU,7
1059703,Norwood,Oliver Norwood,Midfielder,SHU,17
1059703,Baldock,George Baldock,Defender,SHU,-2
