match_id,nick_name,full_name,pos,team,xa,xg
2367538,Redmond,Nathan Redmond,Midfielder,BUR,0.00,0.00
2367538,Cullen,Josh Cullen,Midfielder,BUR,0.01,0.00
2367538,Brownhill,Josh Brownhill,Midfielder,BUR,0.00,0.00
2367538,Bruun Larsen,Jacob Bruun Larsen,Midfielder,BUR,0.01,0.02
2367538,Manuel,Benson Manuel,Midfielder,BUR,0.00,0.00
2367538,Roberts (Connor),Connor Roberts,Defender,BUR,0.01,0.00
2367538,Berge,Sander Berge,Midfielder,BUR,0.00,0.00
2367538,O'Shea,Dara O'Shea,Defender,BUR,0.00,0.00
2367538,Beyer,Jordan Beyer,Defender,BUR,0.00,0.00
2367538,Trafford,James Trafford,Goalkeeper,BUR,0.00,0.00
2367538,Foster,Lyle Foster,Forward,BUR,0.04,0.15
2367538,Vitinho,Victor Alexander da Silva,Defender,BUR,0.03,0.00
2367538,Koleosho,Luca Koleosho,Midfielder,BUR,0.03,0.08
2367538,Al Dakhil,Ameen Al Dakhil,Defender,BUR,0.01,0.00
2367538,Amdouni,Zeki Amdouni,Forward,BUR,0.00,0.03
2367538,Zaroury,Anass Zaroury,Midfielder,BUR,0.06,0.04
2367538,Walker,Kyle Walker,Defender,MCI,0.04,0.00
2367538,De Bruyne,Kevin De Bruyne,Midfielder,MCI,0.16,0.02
2367538,Kovacic,Mateo Kovacic,Midfielder,MCI,0.24,0.00
2367538,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0.01,0.00
2367538,Aké,Nathan Aké,Defender,MCI,0.01,0.31
2367538,Laporte,Aymeric Laporte,Defender,MCI,0.00,0.04
2367538,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,MCI,0.03,0.00
2367538,Foden,Phil Foden,Midfielder,MCI,0.15,0.29
2367538,Akanji,Manuel Akanji,Defender,MCI,0.01,0.00
2367538,Rodri,Rodrigo Hernández Cascante,Midfielder,MCI,0.17,0.50
2367538,Haaland,Erling Haaland,Forward,MCI,0.05,0.57
2367538,Palmer,Cole Palmer,Midfielder,MCI,0.02,0.00
2367538,Mcatee,James Mcatee,Midfielder,MCI,0.00,0.00
2367538,Álvarez (Julián),Julián Álvarez,Forward,MCI,0.37,0.35
2367538,Lewis (Rico),Rico Lewis,Defender,MCI,0.01,0.00
2367538,Gvardiol,Joško Gvardiol,Defender,MCI,0.00,0.00
