match_id,date,team,goals,xg,goals_c,xg_c
2367538,11th Aug 2023,BUR,0,0.33,3,2.08
2367538,11th Aug 2023,MCI,3,2.08,0,0.33
2367539,12th Aug 2023,BOU,1,1.37,1,1.07
2367539,12th Aug 2023,WHU,1,1.07,1,1.37
2367540,12th Aug 2023,ARS,2,0.83,1,1.18
2367540,12th Aug 2023,NFO,1,1.18,2,0.83
2367541,12th Aug 2023,BHA,4,4.01,1,1.48
2367541,12th Aug 2023,LUT,1,1.48,4,4.01
2367542,12th Aug 2023,EVE,0,2.73,1,1.50
2367542,12th Aug 2023,FUL,1,1.50,0,2.73
2367543,12th Aug 2023,AVL,1,1.77,5,3.41
2367543,12th Aug 2023,NEW,5,3.41,1,1.77
2367544,12th Aug 2023,CRY,1,1.89,0,0.51
2367544,12th Aug 2023,SHU,0,0.51,1,1.89
2367545,13th Aug 2023,BRE,2,2.22,2,1.27
2367545,13th Aug 2023,TOT,2,1.27,2,2.22
2367546,13th Aug 2023,CHE,1,1.35,1,1.28
2367546,13th Aug 2023,LIV,1,1.28,1,1.35
2367547,14th Aug 2023,MUN,1,2.21,0,2.35
2367547,14th Aug 2023,WOL,0,2.35,1,2.21
2367548,20th Aug 2023,AVL,4,3.00,0,0.63
2367548,20th Aug 2023,EVE,0,0.63,4,3.00
2367549,21st Aug 2023,ARS,1,2.02,0,1.01
2367549,21st Aug 2023,CRY,0,1.01,1,2.02
2367550,19th Aug 2023,BRE,3,3.93,0,0.46
2367550,19th Aug 2023,FUL,0,0.46,3,3.93
2367551,19th Aug 2023,BOU,1,1.29,3,3.08
2367551,19th Aug 2023,LIV,3,3.08,1,1.29
2367552,3rd Oct 2023,BUR,2,1.11,1,1.34
2367552,3rd Oct 2023,LUT,1,1.34,2,1.11
2367553,19th Aug 2023,MCI,1,1.01,0,0.29
2367553,19th Aug 2023,NEW,0,0.29,1,1.01
2367554,18th Aug 2023,NFO,2,1.39,1,0.50
2367554,18th Aug 2023,SHU,1,0.50,2,1.39
2367555,19th Aug 2023,MUN,0,2.07,2,1.74
2367555,19th Aug 2023,TOT,2,1.74,0,2.07
2367556,20th Aug 2023,CHE,1,2.49,3,1.80
2367556,20th Aug 2023,WHU,3,1.80,1,2.49
2367557,19th Aug 2023,BHA,4,2.22,1,2.14
2367557,19th Aug 2023,WOL,1,2.14,4,2.22
2367558,26th Aug 2023,BOU,0,0.67,2,2.06
2367558,26th Aug 2023,TOT,2,2.06,0,0.67
2367559,26th Aug 2023,ARS,2,3.20,2,0.56
2367559,26th Aug 2023,FUL,2,0.56,2,3.20
2367560,26th Aug 2023,BRE,1,0.97,1,0.80
2367560,26th Aug 2023,CRY,1,0.80,1,0.97
2367561,26th Aug 2023,BHA,1,1.48,3,3.23
2367561,26th Aug 2023,WHU,3,3.23,1,1.48
2367562,27th Aug 2023,AVL,3,2.70,1,0.73
2367562,27th Aug 2023,BUR,1,0.73,3,2.70
2367563,25th Aug 2023,CHE,3,2.27,0,0.44
2367563,25th Aug 2023,LUT,0,0.44,3,2.27
2367564,26th Aug 2023,EVE,0,1.34,1,1.08
2367564,26th Aug 2023,WOL,1,1.08,0,1.34
2367565,26th Aug 2023,MUN,3,2.83,2,1.21
2367565,26th Aug 2023,NFO,2,1.21,3,2.83
2367566,27th Aug 2023,LIV,2,0.88,1,1.99
2367566,27th Aug 2023,NEW,1,1.99,2,0.88
2367567,27th Aug 2023,MCI,2,3.60,1,0.67
2367567,27th Aug 2023,SHU,1,0.67,2,3.60
2367568,3rd Sep 2023,ARS,3,2.27,1,0.94
2367568,3rd Sep 2023,MUN,1,0.94,3,2.27
2367569,2nd Sep 2023,BOU,2,2.09,2,2.91
2367569,2nd Sep 2023,BRE,2,2.91,2,2.09
2367570,2nd Sep 2023,BHA,3,1.30,1,1.23
2367570,2nd Sep 2023,NEW,1,1.23,3,1.30
2367571,2nd Sep 2023,BUR,2,1.36,5,2.28
2367571,2nd Sep 2023,TOT,5,2.28,2,1.36
2367572,2nd Sep 2023,CHE,0,2.30,1,0.76
2367572,2nd Sep 2023,NFO,1,0.76,0,2.30
2367573,3rd Sep 2023,CRY,3,2.11,2,1.18
2367573,3rd Sep 2023,WOL,2,1.18,3,2.11
2367574,3rd Sep 2023,AVL,0,0.66,3,2.47
2367574,3rd Sep 2023,LIV,3,2.47,0,0.66
2367575,1st Sep 2023,LUT,1,1.47,2,1.03
2367575,1st Sep 2023,WHU,2,1.03,1,1.47
2367576,2nd Sep 2023,FUL,1,1.45,5,2.26
2367576,2nd Sep 2023,MCI,5,2.26,1,1.45
2367577,2nd Sep 2023,EVE,2,2.59,2,1.19
2367577,2nd Sep 2023,SHU,2,1.19,2,2.59
2367578,17th Sep 2023,BOU,0,1.04,0,1.85
2367578,17th Sep 2023,CHE,0,1.85,0,1.04
2367579,16th Sep 2023,AVL,3,3.21,1,1.17
2367579,16th Sep 2023,CRY,1,1.17,3,3.21
2367580,17th Sep 2023,ARS,1,1.02,0,0.34
2367580,17th Sep 2023,EVE,0,0.34,1,1.02
2367581,16th Sep 2023,FUL,1,0.96,0,1.10
2367581,16th Sep 2023,LUT,0,1.10,1,0.96
2367582,16th Sep 2023,BHA,3,1.70,1,0.96
2367582,16th Sep 2023,MUN,1,0.96,3,1.70
2367583,16th Sep 2023,BRE,0,0.50,1,1.44
2367583,16th Sep 2023,NEW,1,1.44,0,0.50
2367584,18th Sep 2023,BUR,1,0.55,1,0.71
2367584,18th Sep 2023,NFO,1,0.71,1,0.55
2367585,16th Sep 2023,SHU,1,0.66,2,2.12
2367585,16th Sep 2023,TOT,2,2.12,1,0.66
2367586,16th Sep 2023,MCI,3,3.63,1,0.94
2367586,16th Sep 2023,WHU,1,0.94,3,3.63
2367587,16th Sep 2023,LIV,3,2.52,1,0.63
2367587,16th Sep 2023,WOL,1,0.63,3,2.52
2367588,24th Sep 2023,ARS,2,2.03,2,1.46
2367588,24th Sep 2023,TOT,2,1.46,2,2.03
2367589,23rd Sep 2023,BRE,1,1.03,3,1.90
2367589,23rd Sep 2023,EVE,3,1.90,1,1.03
2367590,24th Sep 2023,BOU,1,1.14,3,1.85
2367590,24th Sep 2023,BHA,3,1.85,1,1.14
2367591,23rd Sep 2023,BUR,0,1.09,1,0.97
2367591,23rd Sep 2023,MUN,1,0.97,0,1.09
2367592,24th Sep 2023,AVL,1,1.07,0,1.33
2367592,24th Sep 2023,CHE,0,1.33,1,1.07
2367593,23rd Sep 2023,CRY,0,0.30,0,0.59
2367593,23rd Sep 2023,FUL,0,0.59,0,0.30
2367594,24th Sep 2023,LIV,3,3.03,1,1.10
2367594,24th Sep 2023,WHU,1,1.10,3,3.03
2367595,23rd Sep 2023,LUT,1,2.17,1,0.59
2367595,23rd Sep 2023,WOL,1,0.59,1,2.17
2367596,23rd Sep 2023,MCI,2,1.33,0,1.03
2367596,23rd Sep 2023,NFO,0,1.03,2,1.33
2367597,24th Sep 2023,NEW,8,3.92,0,0.94
2367597,24th Sep 2023,SHU,0,0.94,8,3.92
2367598,30th Sep 2023,ARS,4,3.43,0,0.65
2367598,30th Sep 2023,BOU,0,0.65,4,3.43
2367599,30th Sep 2023,AVL,6,1.58,1,1.71
2367599,30th Sep 2023,BHA,1,1.71,6,1.58
2367600,30th Sep 2023,EVE,1,2.90,2,0.89
2367600,30th Sep 2023,LUT,2,0.89,1,2.90
2367601,2nd Oct 2023,CHE,2,1.70,0,1.09
2367601,2nd Oct 2023,FUL,0,1.09,2,1.70
2367602,30th Sep 2023,CRY,1,0.90,0,1.30
2367602,30th Sep 2023,MUN,0,1.30,1,0.90
2367603,30th Sep 2023,BUR,0,0.65,2,3.18
2367603,30th Sep 2023,NEW,2,3.18,0,0.65
2367604,1st Oct 2023,BRE,1,1.66,1,0.46
2367604,1st Oct 2023,NFO,1,0.46,1,1.66
2367605,30th Sep 2023,LIV,1,1.31,2,2.23
2367605,30th Sep 2023,TOT,2,2.23,1,1.31
2367606,30th Sep 2023,SHU,0,1.07,2,2.14
2367606,30th Sep 2023,WHU,2,2.14,0,1.07
2367607,30th Sep 2023,MCI,1,0.87,2,0.47
2367607,30th Sep 2023,WOL,2,0.47,1,0.87
2367608,8th Oct 2023,ARS,1,0.39,0,0.48
2367608,8th Oct 2023,MCI,0,0.48,1,0.39
2367609,8th Oct 2023,BHA,2,2.32,2,2.35
2367609,8th Oct 2023,LIV,2,2.35,2,2.32
2367610,7th Oct 2023,BUR,1,0.76,4,1.86
2367610,7th Oct 2023,CHE,4,1.86,1,0.76
2367611,7th Oct 2023,CRY,0,0.81,0,1.05
2367611,7th Oct 2023,NFO,0,1.05,0,0.81
2367612,7th Oct 2023,BOU,0,0.69,3,2.49
2367612,7th Oct 2023,EVE,3,2.49,0,0.69
2367613,7th Oct 2023,FUL,3,2.21,1,0.57
2367613,7th Oct 2023,SHU,1,0.57,3,2.21
2367614,7th Oct 2023,LUT,0,0.76,1,1.96
2367614,7th Oct 2023,TOT,1,1.96,0,0.76
2367615,7th Oct 2023,BRE,1,0.95,2,1.43
2367615,7th Oct 2023,MUN,2,1.43,1,0.95
2367616,8th Oct 2023,NEW,2,2.01,2,1.16
2367616,8th Oct 2023,WHU,2,1.16,2,2.01
2367617,8th Oct 2023,AVL,1,1.61,1,1.68
2367617,8th Oct 2023,WOL,1,1.68,1,1.61
2367618,21st Oct 2023,BOU,1,0.63,2,2.35
2367618,21st Oct 2023,WOL,2,2.35,1,0.63
2367619,22nd Oct 2023,AVL,4,1.94,1,1.16
2367619,22nd Oct 2023,WHU,1,1.16,4,1.94
2367620,21st Oct 2023,BRE,3,3.24,0,1.14
2367620,21st Oct 2023,BUR,0,1.14,3,3.24
2367621,21st Oct 2023,ARS,2,0.99,2,1.35
2367621,21st Oct 2023,CHE,2,1.35,2,0.99
2367622,21st Oct 2023,EVE,0,0.13,2,2.23
2367622,21st Oct 2023,LIV,2,2.23,0,0.13
2367623,21st Oct 2023,BHA,1,0.83,2,0.75
2367623,21st Oct 2023,MCI,2,0.75,1,0.83
2367624,21st Oct 2023,CRY,0,1.21,4,2.39
2367624,21st Oct 2023,NEW,4,2.39,0,1.21
2367625,21st Oct 2023,LUT,2,1.71,2,2.97
2367625,21st Oct 2023,NFO,2,2.97,2,1.71
2367626,21st Oct 2023,MUN,2,1.10,1,1.42
2367626,21st Oct 2023,SHU,1,1.42,2,1.10
2367627,23rd Oct 2023,FUL,0,1.03,2,1.53
2367627,23rd Oct 2023,TOT,2,1.53,0,1.03
2367628,28th Oct 2023,BOU,2,1.11,1,0.83
2367628,28th Oct 2023,BUR,1,0.83,2,1.11
2367629,28th Oct 2023,ARS,5,2.77,0,0.03
2367629,28th Oct 2023,SHU,0,0.03,5,2.77
2367630,29th Oct 2023,AVL,3,2.28,1,0.48
2367630,29th Oct 2023,LUT,1,0.48,3,2.28
2367631,29th Oct 2023,BHA,1,1.43,1,0.71
2367631,29th Oct 2023,FUL,1,0.71,1,1.43
2367632,28th Oct 2023,BRE,2,2.16,0,2.03
2367632,28th Oct 2023,CHE,0,2.03,2,2.16
2367633,27th Oct 2023,CRY,1,0.61,2,1.12
2367633,27th Oct 2023,TOT,2,1.12,1,0.61
2367634,29th Oct 2023,LIV,3,3.19,0,0.45
2367634,29th Oct 2023,NFO,0,0.45,3,3.19
2367635,29th Oct 2023,MCI,3,4.00,0,0.95
2367635,29th Oct 2023,MUN,0,0.95,3,4.00
2367636,29th Oct 2023,EVE,1,0.82,0,0.66
2367636,29th Oct 2023,WHU,0,0.66,1,0.82
2367637,28th Oct 2023,NEW,2,2.19,2,0.89
2367637,28th Oct 2023,WOL,2,0.89,2,2.19
2367638,4th Nov 2023,BRE,3,1.63,2,1.82
2367638,4th Nov 2023,WHU,2,1.82,3,1.63
2367639,4th Nov 2023,BUR,0,1.12,2,1.30
2367639,4th Nov 2023,CRY,2,1.30,0,1.12
2367640,4th Nov 2023,BHA,1,0.51,1,0.71
2367640,4th Nov 2023,EVE,1,0.71,1,0.51
2367641,4th Nov 2023,FUL,0,1.01,1,0.69
2367641,4th Nov 2023,MUN,1,0.69,0,1.01
2367642,5th Nov 2023,LIV,1,2.85,1,0.81
2367642,5th Nov 2023,LUT,1,0.81,1,2.85
2367643,4th Nov 2023,BOU,1,0.91,6,1.95
2367643,4th Nov 2023,MCI,6,1.95,1,0.91
2367644,4th Nov 2023,ARS,0,0.57,1,1.04
2367644,4th Nov 2023,NEW,1,1.04,0,0.57
2367645,5th Nov 2023,AVL,0,1.23,2,0.38
2367645,5th Nov 2023,NFO,2,0.38,0,1.23
2367646,4th Nov 2023,SHU,2,1.05,1,1.33
2367646,4th Nov 2023,WOL,1,1.33,2,1.05
2367647,6th Nov 2023,CHE,4,4.12,1,0.89
2367647,6th Nov 2023,TOT,1,0.89,4,4.12
2367648,11th Nov 2023,BOU,2,2.46,0,0.49
2367648,11th Nov 2023,NEW,0,0.49,2,2.46
2367649,11th Nov 2023,ARS,3,1.95,1,0.32
2367649,11th Nov 2023,BUR,1,0.32,3,1.95
2367650,12th Nov 2023,AVL,3,3.08,1,0.93
2367650,12th Nov 2023,FUL,1,0.93,3,3.08
2367651,12th Nov 2023,BHA,1,1.53,1,1.07
2367651,12th Nov 2023,SHU,1,1.07,1,1.53
2367652,12th Nov 2023,CHE,4,2.95,4,2.88
2367652,12th Nov 2023,MCI,4,2.88,4,2.95
2367653,11th Nov 2023,CRY,2,2.17,3,1.53
2367653,11th Nov 2023,EVE,3,1.53,2,2.17
2367654,12th Nov 2023,BRE,0,1.68,3,1.71
2367654,12th Nov 2023,LIV,3,1.71,0,1.68
2367655,11th Nov 2023,LUT,0,0.41,1,2.18
2367655,11th Nov 2023,MUN,1,2.18,0,0.41
2367656,12th Nov 2023,NFO,2,1.69,3,1.80
2367656,12th Nov 2023,WHU,3,1.80,2,1.69
2367657,11th Nov 2023,TOT,1,0.70,2,2.15
