match_id,nick_name,full_name,pos,team,saves,pen_saves
2292810,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,2,0
2292810,Guaita,Vicente Guaita,Goalkeeper,CRY,1,0
2292811,Martinez,Emiliano Martinez,Goalkeeper,AVL,1,0
2292811,Travers,Mark Travers,Goalkeeper,BOU,2,0
2292812,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,3,0
2292812,Pickford,Jordan Pickford,Goalkeeper,EVE,5,0
2292813,Rodák,Marek Rodák,Goalkeeper,FUL,1,0
2292813,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,1,0
2292814,Meslier,Illan Meslier,Goalkeeper,LEE,5,0
2292814,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,3,0
2292815,Raya Martin,David Raya Martin,Goalkeeper,BRE,3,0
2292815,Ward (Danny),Danny Ward,Goalkeeper,LEI,1,0
2292816,Pope,Nick Pope,Goalkeeper,NEW,0,0
2292816,Henderson (Dean),Dean Henderson,Goalkeeper,NFO,7,0
2292817,Bazunu,Gavin Bazunu,Goalkeeper,SOU,5,0
2292817,Lloris,Hugo Lloris,Goalkeeper,TOT,1,0
2292818,Sanchez,Robert Sanchez,Goalkeeper,BHA,5,0
2292818,De Gea,David De Gea,Goalkeeper,MUN,2,0
2292819,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2292819,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,0,0
2292819,Areola,Alphonse Areola,Goalkeeper,WHU,0,0
2292820,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,1,0
2292820,Ward (Danny),Danny Ward,Goalkeeper,LEI,4,0
2292821,Martinez,Emiliano Martinez,Goalkeeper,AVL,4,0
2292821,Pickford,Jordan Pickford,Goalkeeper,EVE,1,0
2292822,Raya Martin,David Raya Martin,Goalkeeper,BRE,4,0
2292822,De Gea,David De Gea,Goalkeeper,MUN,3,0
2292823,Sanchez,Robert Sanchez,Goalkeeper,BHA,1,0
2292823,Pope,Nick Pope,Goalkeeper,NEW,5,0
2292824,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,3,0
2292824,Lloris,Hugo Lloris,Goalkeeper,TOT,1,0
2292825,Guaita,Vicente Guaita,Goalkeeper,CRY,3,0
2292825,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
2292826,Travers,Mark Travers,Goalkeeper,BOU,4,0
2292826,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2292827,Henderson (Dean),Dean Henderson,Goalkeeper,NFO,4,1
2292827,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,6,0
2292828,Meslier,Illan Meslier,Goalkeeper,LEE,2,0
2292828,Bazunu,Gavin Bazunu,Goalkeeper,SOU,3,0
2292829,Rodák,Marek Rodák,Goalkeeper,FUL,1,0
2292829,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,3,1
2292830,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,3,0
2292830,Travers,Mark Travers,Goalkeeper,BOU,3,0
2292831,Martinez,Emiliano Martinez,Goalkeeper,AVL,6,1
2292831,Guaita,Vicente Guaita,Goalkeeper,CRY,4,0
2292832,Pickford,Jordan Pickford,Goalkeeper,EVE,4,0
2292832,Henderson (Dean),Dean Henderson,Goalkeeper,NFO,7,0
2292833,Raya Martin,David Raya Martin,Goalkeeper,BRE,6,0
2292833,Leno,Bernd Leno,Goalkeeper,FUL,3,0
2292834,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,3,0
2292834,Meslier,Illan Meslier,Goalkeeper,LEE,3,0
2292835,Ward (Danny),Danny Ward,Goalkeeper,LEI,1,0
2292835,Bazunu,Gavin Bazunu,Goalkeeper,SOU,0,0
2292836,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,3,0
2292836,De Gea,David De Gea,Goalkeeper,MUN,5,0
2292837,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,2,0
2292837,Pope,Nick Pope,Goalkeeper,NEW,7,0
2292838,Lloris,Hugo Lloris,Goalkeeper,TOT,3,0
2292838,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,3,0
2292839,Sanchez,Robert Sanchez,Goalkeeper,BHA,3,0
2292839,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,0,0
2292840,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,2,0
2292840,Leno,Bernd Leno,Goalkeeper,FUL,6,0
2292841,Martinez,Emiliano Martinez,Goalkeeper,AVL,1,0
2292841,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
2292842,Raya Martin,David Raya Martin,Goalkeeper,BRE,6,0
2292842,Pickford,Jordan Pickford,Goalkeeper,EVE,4,0
2292843,Sanchez,Robert Sanchez,Goalkeeper,BHA,2,0
2292843,Meslier,Illan Meslier,Goalkeeper,LEE,3,0
2292844,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,4,0
2292844,Ward (Danny),Danny Ward,Goalkeeper,LEI,2,0
2292845,Travers,Mark Travers,Goalkeeper,BOU,4,0
2292845,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,2,0
2292846,Guaita,Vicente Guaita,Goalkeeper,CRY,1,0
2292846,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2292847,Henderson (Dean),Dean Henderson,Goalkeeper,NFO,4,1
2292847,Lloris,Hugo Lloris,Goalkeeper,TOT,1,0
2292848,De Gea,David De Gea,Goalkeeper,MUN,4,0
2292848,Bazunu,Gavin Bazunu,Goalkeeper,SOU,3,0
2292849,Pope,Nick Pope,Goalkeeper,NEW,3,0
2292849,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,5,0
2292850,Neto,Norberto Murara Neto,Goalkeeper,BOU,3,0
2292850,José Sá,José Pedro Malheiro de Sá,Goalkeeper,WOL,2,0
2292851,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,2,0
2292851,Martinez,Emiliano Martinez,Goalkeeper,AVL,6,0
2292852,Raya Martin,David Raya Martin,Goalkeeper,BRE,3,0
2292852,Guaita,Vicente Guaita,Goalkeeper,CRY,2,0
2292853,Sanchez,Robert Sanchez,Goalkeeper,BHA,2,0
2292853,Leno,Bernd Leno,Goalkeeper,FUL,2,0
2292854,Pickford,Jordan Pickford,Goalkeeper,EVE,4,0
2292854,Meslier,Illan Meslier,Goalkeeper,LEE,1,0
2292855,Ward (Danny),Danny Ward,Goalkeeper,LEI,1,0
2292855,De Gea,David De Gea,Goalkeeper,MUN,2,0
2292856,Lloris,Hugo Lloris,Goalkeeper,TOT,3,0
2292856,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,3,0
2292857,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,1,0
2292857,Pope,Nick Pope,Goalkeeper,NEW,4,0
2292858,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,1,0
2292858,Henderson (Dean),Dean Henderson,Goalkeeper,NFO,3,0
2292859,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,3,0
2292859,Bazunu,Gavin Bazunu,Goalkeeper,SOU,3,0
2292860,Martinez,Emiliano Martinez,Goalkeeper,AVL,3,0
2292860,Ederson,Ederson Santana de Moraes,Goalkeeper,MCI,0,0
2292861,Raya Martin,David Raya Martin,Goalkeeper,BRE,4,0
2292861,Meslier,Illan Meslier,Goalkeeper,LEE,3,0
2292862,Sanchez,Robert Sanchez,Goalkeeper,BHA,2,0
2292862,Ward (Danny),Danny Ward,Goalkeeper,LEI,7,0
2292863,Mendy (Edouard),Edouard Mendy,Goalkeeper,CHE,2,0
2292863,Fabianski,Lukasz Fabianski,Goalkeeper,WHU,1,0
2292864,Pickford,Jordan Pickford,Goalkeeper,EVE,8,0
2292864,Alisson,Alisson Ramses Becker,Goalkeeper,LIV,4,0
2292865,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,3,0
2292865,De Gea,David De Gea,Goalkeeper,MUN,2,0
2292866,Guaita,Vicente Guaita,Goalkeeper,CRY,5,0
2292866,Pope,Nick Pope,Goalkeeper,NEW,9,0
2292867,Neto,Norberto Murara Neto,Goalkeeper,BOU,1,0
