match_id,nick_name,full_name,pos,team,clearences,blocks,interceptions,recoveries,tackles_won
2292810,Xhaka,Granit Xhaka,Midfielder,ARS,3,1,2,5,1
2292810,Partey,Thomas Partey,Midfielder,ARS,1,1,1,8,5
2292810,Odegaard,Martin Odegaard,Midfielder,ARS,1,0,0,7,1
2292810,Tierney,Kieran Tierney,Defender,ARS,1,0,0,0,1
2292810,White (Ben),Ben White,Defender,ARS,4,1,1,6,5
2292810,Eddie Nketiah,Edward Nketiah,Forward,ARS,0,0,0,1,0
2292810,Jesus,Gabriel Fernando de Jesus,Forward,ARS,0,0,1,4,1
2292810,Zinchenko,Oleksandr Zinchenko,Defender,ARS,1,0,3,6,1
2292810,Saka,Bukayo Saka,Midfielder,ARS,2,0,0,4,1
2292810,Ramsdale,Aaron Ramsdale,Goalkeeper,ARS,0,0,0,10,0
2292810,Gabriel Magalhães,Gabriel dos Santos Magalhães,Defender,ARS,3,2,1,3,0
2292810,Sambi Lokonga,Albert Sambi Lokonga,Midfielder,ARS,0,0,0,1,0
2292810,Martinelli,Gabriel Teodoro Martinelli Silva,Midfielder,ARS,1,0,0,2,0
2292810,Saliba,William Saliba,Defender,ARS,7,1,0,7,0
2292810,Guaita,Vicente Guaita,Goalkeeper,CRY,0,0,0,6,0
2292810,Clyne,Nathaniel Clyne,Defender,CRY,2,0,1,1,0
2292810,Milivojevic,Luka Milivojevic,Midfielder,CRY,0,0,0,2,0
2292810,Ayew (Jordan),Jordan Ayew,Midfielder,CRY,1,0,0,4,1
2292810,Zaha,Wilfried Zaha,Midfielder,CRY,0,0,0,9,2
2292810,Schlupp,Jeffrey Schlupp,Midfielder,CRY,0,1,1,6,2
2292810,Hughes (Will),Will Hughes,Midfielder,CRY,0,0,0,0,0
2292810,Andersen,Joachim Andersen,Defender,CRY,9,0,2,5,1
2292810,Edouard,Odsonne Edouard,Forward,CRY,1,0,0,2,0
2292810,Marc Guehi,Addji Keaninkin Marc-Israel Guehi,Defender,CRY,1,2,1,6,0
2292810,Mateta,Jean-Philippe Mateta,Forward,CRY,0,0,0,0,0
2292810,Eze,Eberechi Eze,Midfielder,CRY,0,0,0,5,1
2292810,Mitchell,Tyrick Mitchell,Defender,CRY,3,1,2,8,1
2292810,Doucoure,Cheick Oumar Doucoure,Midfielder,CRY,1,0,1,5,1
2292810,Ebiowei,Malcolm Ebiowei,Midfielder,CRY,0,0,0,0,0
2292811,Coutinho,Philippe Coutinho,Midfielder,AVL,0,0,1,5,0
2292811,Ings,Danny Ings,Forward,AVL,0,0,0,1,0
2292811,Martinez,Emiliano Martinez,Goalkeeper,AVL,0,0,0,6,0
2292811,Digne,Lucas Digne,Defender,AVL,2,0,3,5,0
2292811,McGinn,John McGinn,Midfielder,AVL,0,0,1,8,2
2292811,Diego Carlos,Diego Carlos Santos Silva,Defender,AVL,1,0,0,8,0
2292811,Watkins,Ollie Watkins,Forward,AVL,0,0,0,0,0
2292811,Buendía,Emiliano Buendía,Midfielder,AVL,0,0,0,1,0
2292811,Cash,Matthew Cash,Defender,AVL,1,0,1,5,0
2292811,Konsa Ngoyo,Ezri Konsa Ngoyo,Defender,AVL,4,1,2,7,1
2292811,Bailey,Leon Bailey,Midfielder,AVL,0,0,0,3,1
2292811,Kamara,Boubacar Kamara,Midfielder,AVL,0,1,0,10,1
2292811,Douglas Luiz,Douglas Luiz Soares de Paulo,Midfielder,AVL,0,0,0,0,0
2292811,Ramsey (Jacob),Jacob Ramsey,Midfielder,AVL,0,0,0,7,3
2292811,Archer,Cameron Archer,Forward,AVL,0,0,0,0,0
2292811,Smith (Adam),Adam Smith,Defender,BOU,2,0,2,5,0
2292811,Stanislas,Junior Stanislas,Midfielder,BOU,0,0,0,0,0
2292811,Moore (Kieffer),Kieffer Moore,Forward,BOU,0,0,0,2,1
2292811,Lerma,Jefferson Lerma,Midfielder,BOU,3,0,1,1,1
2292811,Solanke,Dominic Solanke,Forward,BOU,1,0,0,3,1
2292811,Cook (Lewis),Lewis Cook,Midfielder,BOU,0,1,2,2,0
2292811,Pearson,Ben Pearson,Midfielder,BOU,1,0,1,7,1
2292811,Christie,Ryan Christie,Midfielder,BOU,0,0,0,0,0
2292811,Billing,Philip Billing,Midfielder,BOU,3,1,5,8,2
2292811,Tavernier,Marcus Tavernier,Midfielder,BOU,0,0,0,10,1
2292811,Mepham,Chris Mepham,Defender,BOU,13,1,1,2,1
2292811,Travers,Mark Travers,Goalkeeper,BOU,0,0,0,8,0
2292811,Kelly (Lloyd),Lloyd Kelly,Defender,BOU,11,1,1,2,2
2292811,Zemura,Jordan Zemura,Defender,BOU,2,2,0,6,2
2292812,Azpilicueta,César Azpilicueta,Defender,CHE,0,0,1,5,3
2292812,Thiago Silva,Thiago Emiliano da Silva,Defender,CHE,4,1,3,4,0
2292812,Jorginho,Jorge Luiz Frello Filho,Midfielder,CHE,0,0,0,11,0
2292812,Koulibaly,Kalidou Koulibaly,Defender,CHE,3,0,1,4,0
