match_id,date,team,goals,xg,goals_c,xg_c
2292810,5th Aug 2022,ARS,2,1.00,0,1.21
2292810,5th Aug 2022,CRY,0,1.21,2,1.00
2292811,6th Aug 2022,AVL,0,0.66,2,0.59
2292811,6th Aug 2022,BOU,2,0.59,0,0.66
2292812,6th Aug 2022,CHE,1,1.64,0,0.67
2292812,6th Aug 2022,EVE,0,0.67,1,1.64
2292813,6th Aug 2022,FUL,2,1.25,2,1.23
2292813,6th Aug 2022,LIV,2,1.23,2,1.25
2292814,6th Aug 2022,LEE,2,1.05,1,1.76
2292814,6th Aug 2022,WOL,1,1.76,2,1.05
2292815,7th Aug 2022,BRE,2,0.77,2,0.62
2292815,7th Aug 2022,LEI,2,0.62,2,0.77
2292816,6th Aug 2022,NEW,2,1.74,0,0.28
2292816,6th Aug 2022,NFO,0,0.28,2,1.74
2292817,6th Aug 2022,SOU,1,0.48,4,1.57
2292817,6th Aug 2022,TOT,4,1.57,1,0.48
2292818,7th Aug 2022,BHA,2,1.50,1,1.38
2292818,7th Aug 2022,MUN,1,1.38,2,1.50
2292819,7th Aug 2022,MCI,2,2.23,0,0.49
2292819,7th Aug 2022,WHU,0,0.49,2,2.23
2292820,13th Aug 2022,ARS,4,2.96,2,0.46
2292820,13th Aug 2022,LEI,2,0.46,4,2.96
2292821,13th Aug 2022,AVL,2,2.31,1,1.58
2292821,13th Aug 2022,EVE,1,1.58,2,2.31
2292822,13th Aug 2022,BRE,4,1.61,0,0.92
2292822,13th Aug 2022,MUN,0,0.92,4,1.61
2292823,13th Aug 2022,BHA,0,1.50,0,0.22
2292823,13th Aug 2022,NEW,0,0.22,0,1.50
2292824,14th Aug 2022,CHE,2,1.58,2,1.01
2292824,14th Aug 2022,TOT,2,1.01,2,1.58
2292825,15th Aug 2022,CRY,1,1.04,1,2.07
2292825,15th Aug 2022,LIV,1,2.07,1,1.04
2292826,13th Aug 2022,BOU,0,0.13,4,1.75
2292826,13th Aug 2022,MCI,4,1.75,0,0.13
2292827,14th Aug 2022,NFO,1,1.36,0,2.26
2292827,14th Aug 2022,WHU,0,2.26,1,1.36
2292828,13th Aug 2022,LEE,2,1.93,2,1.22
2292828,13th Aug 2022,SOU,2,1.22,2,1.93
2292829,13th Aug 2022,FUL,0,1.49,0,0.89
2292829,13th Aug 2022,WOL,0,0.89,0,1.49
2292830,20th Aug 2022,ARS,3,1.32,0,0.28
2292830,20th Aug 2022,BOU,0,0.28,3,1.32
2292831,20th Aug 2022,AVL,1,0.90,3,2.69
2292831,20th Aug 2022,CRY,3,2.69,1,0.90
2292832,20th Aug 2022,EVE,1,1.51,1,0.99
2292832,20th Aug 2022,NFO,1,0.99,1,1.51
2292833,20th Aug 2022,BRE,2,1.80,3,2.54
2292833,20th Aug 2022,FUL,3,2.54,2,1.80
2292834,21st Aug 2022,CHE,0,0.88,3,2.22
2292834,21st Aug 2022,LEE,3,2.22,0,0.88
2292835,20th Aug 2022,LEI,1,0.29,2,0.92
2292835,20th Aug 2022,SOU,2,0.92,1,0.29
2292836,22nd Aug 2022,LIV,1,1.35,2,1.79
2292836,22nd Aug 2022,MUN,2,1.79,1,1.35
2292837,21st Aug 2022,MCI,3,2.11,3,1.81
2292837,21st Aug 2022,NEW,3,1.81,3,2.11
2292838,20th Aug 2022,TOT,1,1.67,0,0.71
2292838,20th Aug 2022,WOL,0,0.71,1,1.67
2292839,21st Aug 2022,BHA,2,1.71,0,0.89
2292839,21st Aug 2022,WHU,0,0.89,2,1.71
2292840,27th Aug 2022,ARS,2,2.73,1,0.83
2292840,27th Aug 2022,FUL,1,0.83,2,2.73
2292841,28th Aug 2022,AVL,0,0.49,1,0.56
2292841,28th Aug 2022,WHU,1,0.56,0,0.49
2292842,27th Aug 2022,BRE,1,2.15,1,1.07
2292842,27th Aug 2022,EVE,1,1.07,1,2.15
2292843,27th Aug 2022,BHA,1,2.02,0,1.84
2292843,27th Aug 2022,LEE,0,1.84,1,2.02
2292844,27th Aug 2022,CHE,2,1.75,1,2.52
2292844,27th Aug 2022,LEI,1,2.52,2,1.75
2292845,27th Aug 2022,BOU,0,0.33,9,3.32
2292845,27th Aug 2022,LIV,9,3.32,0,0.33
2292846,27th Aug 2022,CRY,2,0.12,4,2.42
2292846,27th Aug 2022,MCI,4,2.42,2,0.12
2292847,28th Aug 2022,NFO,0,0.95,2,2.40
2292847,28th Aug 2022,TOT,2,2.40,0,0.95
2292848,27th Aug 2022,MUN,1,1.40,0,1.45
2292848,27th Aug 2022,SOU,0,1.45,1,1.40
2292849,28th Aug 2022,NEW,1,1.77,1,0.71
2292849,28th Aug 2022,WOL,1,0.71,1,1.77
2292850,31st Aug 2022,BOU,0,0.42,0,1.51
2292850,31st Aug 2022,WOL,0,1.51,0,0.42
2292851,31st Aug 2022,ARS,2,2.56,1,0.45
2292851,31st Aug 2022,AVL,1,0.45,2,2.56
2292852,30th Aug 2022,BRE,1,1.43,1,0.98
2292852,30th Aug 2022,CRY,1,0.98,1,1.43
2292853,30th Aug 2022,BHA,1,1.42,2,0.68
2292853,30th Aug 2022,FUL,2,0.68,1,1.42
