match_id,date,team,goals,xg,goals_c,xg_c
918994,5th Nov 2017,EVE,3,2.19,2,1.98
918994,5th Nov 2017,WAT,2,1.98,3,2.19
918995,4th Nov 2017,HUD,1,0.34,0,0.37
918995,4th Nov 2017,WBA,0,0.37,1,0.34
918996,5th Nov 2017,ARS,1,0.31,3,1.83
918996,5th Nov 2017,MCI,3,1.83,1,0.31
918997,4th Nov 2017,BOU,1,1.47,0,0.78
918997,4th Nov 2017,NEW,0,0.78,1,1.47
918998,4th Nov 2017,BUR,1,0.17,0,0.74
918998,4th Nov 2017,SOU,0,0.74,1,0.17
918999,4th Nov 2017,LEI,2,1.55,2,0.97
918999,4th Nov 2017,STK,2,0.97,2,1.55
919000,4th Nov 2017,BHA,1,0.88,0,1.46
919000,4th Nov 2017,SWA,0,1.46,1,0.88
919001,5th Nov 2017,CRY,0,0.82,1,0.85
919001,5th Nov 2017,TOT,1,0.85,0,0.82
919002,4th Nov 2017,LIV,4,2.68,1,1.16
919002,4th Nov 2017,WHU,1,1.16,4,2.68
919003,18th Nov 2017,BOU,4,0.69,0,1.21
919003,18th Nov 2017,HUD,0,1.21,4,0.69
919004,18th Nov 2017,ARS,2,2.13,0,0.74
919004,18th Nov 2017,TOT,0,0.74,2,2.13
919005,20th Nov 2017,BHA,2,0.49,2,1.04
919005,20th Nov 2017,STK,2,1.04,2,0.49
919006,18th Nov 2017,BUR,2,1.63,0,0.6
919006,18th Nov 2017,SWA,0,0.6,2,1.63
919007,18th Nov 2017,CRY,2,2.02,2,1.76
919007,18th Nov 2017,EVE,2,1.76,2,2.02
919008,18th Nov 2017,LEI,0,0.16,2,1.87
919008,18th Nov 2017,MCI,2,1.87,0,0.16
919009,18th Nov 2017,LIV,3,2.0,0,0.35
919009,18th Nov 2017,SOU,0,0.35,3,2.0
919010,18th Nov 2017,MUN,4,3.1,1,1.15
919010,18th Nov 2017,NEW,1,1.15,4,3.1
919011,19th Nov 2017,WAT,2,1.03,0,1.63
919011,19th Nov 2017,WHU,0,1.63,2,1.03
919012,18th Nov 2017,CHE,4,1.6,0,0.79
919012,18th Nov 2017,WBA,0,0.79,4,1.6
919013,26th Nov 2017,ARS,1,1.79,0,0.42
919013,26th Nov 2017,BUR,0,0.42,1,1.79
919014,25th Nov 2017,CRY,2,1.39,1,0.7
919014,25th Nov 2017,STK,1,0.7,2,1.39
919015,26th Nov 2017,HUD,1,0.55,2,2.64
919015,26th Nov 2017,MCI,2,2.64,1,0.55
919016,25th Nov 2017,CHE,1,0.77,1,1.22
919016,25th Nov 2017,LIV,1,1.22,1,0.77
919017,25th Nov 2017,BHA,0,0.49,1,1.26
919017,25th Nov 2017,MUN,1,1.26,0,0.49
919018,25th Nov 2017,NEW,0,0.86,3,1.98
919018,25th Nov 2017,WAT,3,1.98,0,0.86
919019,26th Nov 2017,EVE,1,0.17,4,2.05
919019,26th Nov 2017,SOU,4,2.05,1,0.17
919020,25th Nov 2017,BOU,0,0.41,0,0.87
919020,25th Nov 2017,SWA,0,0.87,0,0.41
919021,25th Nov 2017,TOT,1,1.84,1,0.67
919021,25th Nov 2017,WBA,1,0.67,1,1.84
919022,24th Nov 2017,LEI,1,0.36,1,0.91
919022,24th Nov 2017,WHU,1,0.91,1,0.36
919023,29th Nov 2017,BOU,1,1.18,2,1.07
919023,29th Nov 2017,BUR,2,1.07,1,1.18
919024,29th Nov 2017,ARS,5,4.02,0,0.52
919024,29th Nov 2017,HUD,0,0.52,5,4.02
919025,28th Nov 2017,BHA,0,0.57,0,0.55
919025,28th Nov 2017,CRY,0,0.55,0,0.57
919026,28th Nov 2017,LEI,2,0.64,1,2.43
919026,28th Nov 2017,TOT,1,2.43,2,0.64
919027,28th Nov 2017,MUN,4,1.19,2,1.36
919027,28th Nov 2017,WAT,2,1.36,4,1.19
919028,28th Nov 2017,NEW,2,0.98,2,1.17
919028,28th Nov 2017,WBA,2,1.17,2,0.98
919029,29th Nov 2017,CHE,1,1.5,0,0.05
919029,29th Nov 2017,SWA,0,0.05,1,1.5
