match_id,date,team,goals,xg,goals_c,xg_c
918893,11th Aug 2017,ARS,4,2.58,3,1.50
918893,11th Aug 2017,LEI,3,1.50,4,2.58
918894,12th Aug 2017,BHA,0,0.29,2,1.93
918894,12th Aug 2017,MCI,2,1.93,0,0.29
918895,12th Aug 2017,BUR,3,0.65,2,1.53
918895,12th Aug 2017,CHE,2,1.53,3,0.65
918896,12th Aug 2017,CRY,0,1.07,3,1.50
918896,12th Aug 2017,HUD,3,1.50,0,1.07
918897,12th Aug 2017,EVE,1,0.60,0,0.37
918897,12th Aug 2017,STK,0,0.37,1,0.60
918898,13th Aug 2017,MUN,4,2.06,0,0.48
918898,13th Aug 2017,WHU,0,0.48,4,2.06
918899,13th Aug 2017,NEW,0,0.81,2,2.50
918899,13th Aug 2017,TOT,2,2.50,0,0.81
918900,12th Aug 2017,SOU,0,2.01,0,0.30
918900,12th Aug 2017,SWA,0,0.30,0,2.01
918901,12th Aug 2017,LIV,3,2.67,3,2.23
918901,12th Aug 2017,WAT,3,2.23,3,2.67
918902,12th Aug 2017,BOU,0,0.47,1,1.27
918902,12th Aug 2017,WBA,1,1.27,0,0.47
918903,19th Aug 2017,BOU,0,1.00,2,2.42
918903,19th Aug 2017,WAT,2,2.42,0,1.00
918904,19th Aug 2017,BUR,0,1.28,1,0.91
918904,19th Aug 2017,WBA,1,0.91,0,1.28
918905,20th Aug 2017,HUD,1,0.26,0,0.75
918905,20th Aug 2017,NEW,0,0.75,1,0.26
918906,19th Aug 2017,BHA,0,0.17,2,2.01
918906,19th Aug 2017,LEI,2,2.01,0,0.17
918907,19th Aug 2017,CRY,0,0.72,1,2.55
918907,19th Aug 2017,LIV,1,2.55,0,0.72
918908,21st Aug 2017,EVE,1,0.56,1,1.10
918908,21st Aug 2017,MCI,1,1.10,1,0.56
918909,19th Aug 2017,ARS,0,1.47,1,0.70
918909,19th Aug 2017,STK,1,0.70,0,1.47
918910,19th Aug 2017,MUN,4,3.05,0,0.40
918910,19th Aug 2017,SWA,0,0.40,4,3.05
918911,20th Aug 2017,CHE,2,0.74,1,0.73
918911,20th Aug 2017,TOT,1,0.73,2,0.74
918912,31st Mar 2018,SOU,0,0.50,3,1.35
918912,31st Mar 2018,WHU,3,1.35,0,0.50
918913,26th Aug 2017,BOU,1,0.47,2,1.45
918913,26th Aug 2017,MCI,2,1.45,1,0.47
918914,27th Aug 2017,CHE,2,0.99,0,0.38
918914,27th Aug 2017,EVE,0,0.38,2,0.99
918915,26th Aug 2017,CRY,0,0.92,2,0.76
918915,26th Aug 2017,SWA,2,0.76,0,0.92
918916,26th Aug 2017,HUD,0,1.44,0,0.68
918916,26th Aug 2017,SOU,0,0.68,0,1.44
918917,27th Aug 2017,ARS,0,0.57,4,3.13
918917,27th Aug 2017,LIV,4,3.13,0,0.57
918918,26th Aug 2017,LEI,0,0.88,2,2.88
918918,26th Aug 2017,MUN,2,2.88,0,0.88
918919,26th Aug 2017,NEW,3,2.30,0,0.57
918919,26th Aug 2017,WHU,0,0.57,3,2.30
918920,27th Aug 2017,BUR,1,0.90,1,2.46
918920,27th Aug 2017,TOT,1,2.46,1,0.90
918921,26th Aug 2017,BHA,0,1.07,0,0.32
918921,26th Aug 2017,WAT,0,0.32,0,1.07
918922,27th Aug 2017,STK,1,1.31,1,0.83
918922,27th Aug 2017,WBA,1,0.83,1,1.31
918923,9th Sep 2017,ARS,3,2.22,0,0.56
918923,9th Sep 2017,BOU,0,0.56,3,2.22
918924,9th Sep 2017,BHA,3,0.44,1,1.03
918924,9th Sep 2017,WBA,1,1.03,3,0.44
918925,10th Sep 2017,BUR,1,0.28,0,2.01
918925,10th Sep 2017,CRY,0,2.01,1,0.28
918926,9th Sep 2017,EVE,0,0.95,3,1.81
918926,9th Sep 2017,TOT,3,1.81,0,0.95
918927,9th Sep 2017,CHE,2,0.83,1,1.40
918927,9th Sep 2017,LEI,1,1.40,2,0.83
