match_id,nick_name,full_name,pos,team,cost,mins,goals,assists,cs,goals_c,own_goals,y_c,r_c,bonus,points
918894,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,Midfielder,MCI,6.5,10,0,0,0,0,0,0,0,0,0
918894,Leroy Sane,Leroy Sané,Midfielder,MCI,6.9,26,0,0,0,0,0,0,0,0,0
918894,Jesus,Gabriel Fernando de Jesus,Forward,MCI,6.5,77,0,0,1,0,0,1,0,0,0
918895,Walters,Jonathan Walters,Midfielder,BUR,0.0,21,0,0,0,1,0,0,0,0,0
918895,Tarkowski,James Tarkowski,Defender,BUR,5.5,90,0,0,0,2,0,0,0,0,0
918895,Heaton,Tom Heaton,Goalkeeper,BUR,4.0,90,0,0,0,2,0,0,0,0,0
918895,Arfield,Scott Arfield,Midfielder,BUR,0.0,20,0,0,0,1,0,1,0,0,0
918895,Defour,Steven Defour,Midfielder,BUR,0.0,74,0,1,0,1,0,0,0,0,0
918895,Cork,Jack Cork,Midfielder,BUR,4.8,90,0,1,0,2,0,0,0,0,0
918895,Vokes,Sam Vokes,Forward,BUR,0.0,90,2,0,0,2,0,0,0,0,0
918895,Ward (Stephen),Stephen Ward,Defender,BUR,0.0,90,1,0,0,2,0,0,0,0,0
918895,Mee,Ben Mee,Defender,BUR,4.2,90,0,0,0,2,0,1,0,0,0
918895,Gudmundsson,Johann Berg Gudmundsson,Midfielder,BUR,4.8,75,0,0,0,1,0,0,0,0,0
918895,Lowton,Matthew Lowton,Defender,BUR,0.0,90,0,1,0,2,0,0,0,0,0
918895,Hendrick,Jeff Hendrick,Midfielder,BUR,4.4,90,0,0,0,2,0,0,0,0,0
918895,Brady,Robert Brady,Midfielder,BUR,0.0,90,0,0,0,2,0,1,0,0,0
918895,Fabregas,Francesc Fábregas,Midfielder,CHE,0.0,81,0,0,0,3,0,0,1,0,0
918895,Cahill,Gary Cahill,Defender,CHE,0.0,13,0,0,0,0,0,0,1,0,0
918895,Luiz,David Luiz Moreira Marinho,Defender,CHE,0.0,90,1,0,0,3,0,1,0,0,0
918895,Azpilicueta,César Azpilicueta,Defender,CHE,4.5,90,0,0,0,3,0,0,0,0,0
918895,Willian,Willian Borges Da Silva,Midfielder,CHE,5.0,90,0,1,0,3,0,0,0,0,0
918895,Courtois,Thibaut Courtois,Goalkeeper,CHE,5.5,90,0,0,0,3,0,0,0,0,0
918895,Alonso,Marcos Alonso,Defender,CHE,0.0,90,0,0,0,3,0,1,0,0,0
918895,Morata,Álvaro Morata,Forward,CHE,8.4,37,1,1,0,0,0,0,0,0,0
918895,Batshuayi,Michy Batshuayi,Forward,CHE,6.0,58,0,0,0,3,0,0,0,0,0
918895,Rüdiger,Antonio Rüdiger,Defender,CHE,5.6,90,0,0,0,3,0,1,0,0,0
918895,Kanté,N'Golo Kanté,Midfielder,CHE,6.0,90,0,0,0,3,0,0,0,0,0
918895,Christensen,Andreas Christensen,Defender,CHE,5.0,74,0,0,0,3,0,0,0,0,0
918895,Boga,Jeremie Boga,Midfielder,CHE,0.0,17,0,0,0,0,0,0,0,0,0
918895,Charly Musonda,Charly Musonda,Midfielder,CHE,0.0,3,0,0,0,0,0,0,0,0,0
918896,Dann,Scott Dann,Defender,CRY,0.0,90,0,0,0,3,0,0,0,0,0
918896,Puncheon,Jason Puncheon,Midfielder,CRY,0.0,90,0,0,0,3,0,1,0,0,0
918896,Hennessey,Wayne Hennessey,Goalkeeper,CRY,4.0,90,0,0,0,3,0,0,0,0,0
918896,Tomkins,James Tomkins,Defender,CRY,3.9,16,0,0,0,1,0,0,0,0,0
918896,Benteke (Christian),Christian Benteke,Forward,CRY,0.0,90,0,0,0,3,0,0,0,0,0
918896,Ward (Joel),Joel Ward,Defender,CRY,4.3,90,0,0,0,3,1,0,0,0,0
918896,Townsend,Andros Townsend,Midfielder,CRY,5.0,48,0,0,0,1,0,0,0,0,0
918896,Milivojevic,Luka Milivojevic,Midfielder,CRY,0.0,45,0,0,0,2,0,0,0,0,0
918896,Van Aanholt,Patrick Van Aanholt,Defender,CRY,0.0,90,0,0,0,3,0,0,0,0,0
918896,Zaha,Wilfried Zaha,Midfielder,CRY,0.0,90,0,0,0,3,0,0,0,0,0
918896,Loftus-Cheek,Ruben Loftus-Cheek,Midfielder,CRY,0.0,90,0,0,0,3,0,0,0,0,0
918896,Riedewald,Jairo Riedewald,Defender,CRY,4.3,90,0,0,0,3,0,0,0,0,0
918896,Fosu-Mensah,Timothy Fosu-Mensah,Defender,CRY,0.0,78,0,0,0,2,0,0,0,0,0
918896,Zanka,Mathias Jorgensen,Defender,HUD,4.5,90,0,1,1,0,0,0,0,0,0
918896,van La Parra,Rajiv van La Parra,Midfielder,HUD,0.0,8,0,0,0,0,0,0,0,0,0
918896,Lowe,Chris Löwe,Defender,HUD,0.0,90,0,0,1,0,0,0,0,0,0
918896,Lössl,Jonas Lössl,Goalkeeper,HUD,0.0,90,0,0,1,0,0,0,0,0,0
918896,Mooy,Aaron Mooy,Midfielder,HUD,0.0,90,0,1,1,0,0,0,0,0,0
918896,Williams (Danny),Danny Williams,Midfielder,HUD,0.0,37,0,0,0,0,0,0,0,0,0
918896,Quaner,Collin Quaner,Forward,HUD,0.0,22,0,1,0,0,0,0,0,0,0
918896,Schindler,Christopher Schindler,Defender,HUD,0.0,90,0,0,1,0,0,0,0,0,0
918896,Ince (Thomas),Thomas Ince,Midfielder,HUD,0.0,90,0,0,1,0,0,0,0,0,0
918896,Kachunga,Elias Kachunga,Midfielder,HUD,0.0,90,0,0,1,0,0,0,0,0,0
918896,Smith (Tommy),Tommy Smith,Defender,HUD,0.0,57,0,0,0,0,0,1,0,0,0
918896,Palmer (Kasey),Kasey Palmer,Midfielder,HUD,0.0,71,0,0,1,0,0,1,0,0,0
918896,Billing,Philip Billing,Midfielder,HUD,5.0,90,0,0,1,0,0,0,0,0,0
918896,Mounie,Steve Mounie,Forward,HUD,0.0,85,2,0,1,0,0,1,0,0,0
918897,Jagielka,Phil Jagielka,Defender,EVE,0.0,90,0,0,1,0,0,0,0,0,0
918897,Baines,Leighton Baines,Defender,EVE,0.0,90,0,0,1,0,0,0,0,0,0
918897,Rooney,Wayne Rooney,Forward,EVE,0.0,90,1,0,1,0,0,0,0,0,0
918897,Williams (Ashley),Ashley Williams,Defender,EVE,0.0,45,0,0,0,0,0,0,0,0,0
918897,Mirallas,Kevin Mirallas,Midfielder,EVE,0.0,18,0,0,0,0,0,0,0,0,0
918897,Schneiderlin,Morgan Schneiderlin,Midfielder,EVE,0.0,90,0,0,1,0,0,1,0,0,0
918897,Cuco Martina,Rhu-Endly Martina,Defender,EVE,0.0,49,0,0,0,0,0,0,0,0,0
918897,Gueye,Idrissa Gueye,Midfielder,EVE,5.5,90,0,0,1,0,0,0,0,0,0
918897,Keane,Michael Keane,Defender,EVE,4.5,90,0,0,1,0,0,0,0,0,0
918897,Ramirez,Sandro Ramírez,Forward,EVE,0.0,77,0,0,1,0,0,0,0,0,0
918897,Klaassen,Davy Klaassen,Midfielder,EVE,5.5,60,0,0,1,0,0,0,0,0,0
918897,Pickford,Jordan Pickford,Goalkeeper,EVE,5.5,90,0,0,1,0,0,0,0,0,0
918897,Davies (Tom),Tom Davies,Midfielder,EVE,5.0,34,0,0,0,0,0,0,0,0,0
918897,Calvert-Lewin,Dominic Calvert-Lewin,Forward,EVE,5.4,90,0,1,1,0,0,0,0,0,0
918897,Crouch,Peter Crouch,Forward,STK,0.0,23,0,0,0,0,0,0,0,0,0
918897,Fletcher (Darren),Darren Fletcher,Midfielder,STK,0.0,90,0,0,0,1,0,0,0,0,0
918897,Shawcross,Ryan Shawcross,Defender,STK,0.0,90,0,0,0,1,0,0,0,0,0
918897,Pieters,Erik Pieters,Defender,STK,0.0,90,0,0,0,1,0,0,0,0,0
918897,Bojan,Bojan Krkic,Midfielder,STK,0.0,71,0,0,0,1,0,0,0,0,0
918897,Allen,Joe Allen,Midfielder,STK,0.0,90,0,0,0,1,0,1,0,0,0
918897,Choupo-Moting,Eric Maxim Choupo-Moting,Midfielder,STK,0.0,23,0,0,0,0,0,0,0,0,0
918897,Cameron,Geoff Cameron,Defender,STK,0.0,90,0,0,0,1,0,0,0,0,0
918897,Diouf,Mame Biram Diouf,Forward,STK,0.0,90,0,0,0,1,0,0,0,0,0
918897,Shaqiri,Xherdan Shaqiri,Midfielder,STK,6.5,90,0,0,0,1,0,0,0,0,0
918897,Berahino,Saido Berahino,Forward,STK,0.0,71,0,0,0,1,0,0,0,0,0
918897,Zouma,Kurt Zouma,Defender,STK,4.4,90,0,0,0,1,0,0,0,0,0
918897,Butland,Jack Butland,Goalkeeper,STK,0.0,90,0,0,0,1,0,0,0,0,0
918898,Valencia,Luis Antonio Valencia,Defender,MUN,0.0,90,0,0,1,0,0,1,0,0,0
918898,Fellaini,Marouane Fellaini,Midfielder,MUN,0.0,18,0,0,0,0,0,0,0,0,0
918898,Mata,Juan Mata,Midfielder,MUN,0.0,75,0,0,1,0,0,0,0,0,0
918898,De Gea,David De Gea,Goalkeeper,MUN,0.0,90,0,0,1,0,0,0,0,0,0
918898,Mkhitaryan,Henrikh Mkhitaryan,Midfielder,MUN,0.0,88,0,2,1,0,0,0,0,0,0
918898,Blind,Daley Blind,Defender,MUN,4.8,90,0,0,1,0,0,0,0,0,0
918898,Matic,Nemanja Matic,Midfielder,MUN,0.0,90,0,0,1,0,0,0,0,0,0
918898,Lukaku,Romelu Lukaku,Forward,MUN,6.3,90,2,0,1,0,0,0,0,0,0
918898,Pogba,Paul Pogba,Midfielder,MUN,0.0,90,1,0,1,0,0,0,0,0,0
918898,Jones (Phil),Phil Jones,Defender,MUN,0.0,90,0,0,1,0,0,0,0,0,0
918898,Lingard,Jesse Lingard,Midfielder,MUN,0.0,5,0,0,0,0,0,0,0,0,0
918898,Martial,Anthony Martial,Midfielder,MUN,6.4,14,1,1,0,0,0,0,0,0,0
918898,Rashford,Marcus Rashford,Forward,MUN,7.0,79,0,1,1,0,0,0,0,0,0
918898,Bailly,Eric Bailly,Defender,MUN,4.0,90,0,0,1,0,0,1,0,0,0
918898,Hart,Joe Hart,Goalkeeper,WHU,0.0,90,0,0,0,4,0,0,0,0,0
918898,Noble,Mark Noble,Midfielder,WHU,0.0,60,0,0,0,2,0,0,0,0,0
918898,Zabaleta,Pablo Zabaleta,Defender,WHU,0.0,90,0,0,0,4,0,1,0,0,0
918898,Ogbonna,Angelo Ogbonna,Defender,WHU,4.2,90,0,0,0,4,0,1,0,0,0
918898,Arnautovic,Marko Arnautovic,Midfielder,WHU,7.0,90,0,0,0,4,0,0,0,0,0
918898,Hernández,Javier Hernández,Forward,WHU,0.0,90,0,0,0,4,0,0,0,0,0
918898,Ayew (André),André Ayew,Midfielder,WHU,0.0,90,0,0,0,4,0,0,0,0,0
918898,Reid,Winston Reid,Defender,WHU,0.0,90,0,0,0,4,0,0,0,0,0
918898,Cresswell,Aaron Cresswell,Defender,WHU,3.9,12,0,0,0,2,0,0,0,0,0
918898,Obiang,Pedro Obiang,Midfielder,WHU,0.0,90,0,0,0,4,0,0,0,0,0
918898,Sakho (Diafra),Diafra Sakho,Forward,WHU,0.0,33,0,0,0,2,0,0,0,0,0
918898,Masuaku,Arthur Masuaku,Defender,WHU,0.0,81,0,0,0,2,0,0,0,0,0
918898,Fernandes,Edimilson Fernandes,Midfielder,WHU,5.0,60,0,0,0,2,0,0,0,0,0
918898,Rice,Declan Rice,Defender,WHU,6.5,33,0,0,0,2,0,0,0,0,0
918899,Elliot,Robert Elliot,Goalkeeper,NEW,0.0,90,0,0,0,2,0,0,0,0,0
