match_id,date,team,goals,xg,goals_c,xg_c
2128286,12th Jan 2021,BUR,0,0.90,1,1.17
2128286,12th Jan 2021,MUN,1,1.17,0,0.90
2128287,12th Sep 2020,CRY,1,1.11,0,0.90
2128287,12th Sep 2020,SOU,0,0.90,1,1.11
2128288,12th Sep 2020,ARS,3,1.97,0,0.15
2128288,12th Sep 2020,FUL,0,0.15,3,1.97
2128289,12th Sep 2020,LEE,3,0.32,4,2.76
2128289,12th Sep 2020,LIV,4,2.76,3,0.32
2128290,20th Jan 2021,AVL,0,0.63,2,3.48
2128290,20th Jan 2021,MCI,2,3.48,0,0.63
2128291,13th Sep 2020,EVE,1,1.20,0,1.13
2128291,13th Sep 2020,TOT,0,1.13,1,1.20
2128292,13th Sep 2020,LEI,3,2.83,0,0.42
2128292,13th Sep 2020,WBA,0,0.42,3,2.83
2128293,12th Sep 2020,NEW,2,1.57,0,1.09
2128293,12th Sep 2020,WHU,0,1.09,2,1.57
2128294,14th Sep 2020,BHA,1,1.05,3,1.22
2128294,14th Sep 2020,CHE,3,1.22,1,1.05
2128295,14th Sep 2020,SHU,0,1.04,2,1.40
2128295,14th Sep 2020,WOL,2,1.40,0,1.04
2128296,19th Sep 2020,ARS,2,1.11,1,2.08
2128296,19th Sep 2020,WHU,1,2.08,2,1.11
2128297,21st Sep 2020,AVL,1,1.01,0,0.93
2128297,21st Sep 2020,SHU,0,0.93,1,1.01
2128298,20th Sep 2020,CHE,0,0.93,2,2.12
2128298,20th Sep 2020,LIV,2,2.12,0,0.93
2128299,19th Sep 2020,EVE,5,3.97,2,0.34
2128299,19th Sep 2020,WBA,2,0.34,5,3.97
2128300,19th Sep 2020,FUL,3,1.74,4,1.37
2128300,19th Sep 2020,LEE,4,1.37,3,1.74
2128301,20th Sep 2020,BUR,2,1.39,4,1.22
2128301,20th Sep 2020,LEI,4,1.22,2,1.39
2128302,19th Sep 2020,CRY,3,1.65,1,1.23
2128302,19th Sep 2020,MUN,1,1.23,3,1.65
2128303,20th Sep 2020,BHA,3,1.78,0,0.52
2128303,20th Sep 2020,NEW,0,0.52,3,1.78
2128304,20th Sep 2020,SOU,2,2.12,5,2.09
2128304,20th Sep 2020,TOT,5,2.09,2,2.12
2128305,21st Sep 2020,MCI,3,1.90,1,0.56
2128305,21st Sep 2020,WOL,1,0.56,3,1.90
2128306,26th Sep 2020,BHA,2,2.55,3,1.55
2128306,26th Sep 2020,MUN,3,1.55,2,2.55
2128307,26th Sep 2020,BUR,0,0.50,1,0.63
2128307,26th Sep 2020,SOU,1,0.63,0,0.50
2128308,26th Sep 2020,CRY,1,0.43,2,1.94
2128308,26th Sep 2020,EVE,2,1.94,1,0.43
2128309,28th Sep 2020,AVL,3,1.42,0,0.72
2128309,28th Sep 2020,FUL,0,0.72,3,1.42
2128310,28th Sep 2020,ARS,1,1.26,3,2.71
2128310,28th Sep 2020,LIV,3,2.71,1,1.26
2128311,27th Sep 2020,LEI,5,2.85,2,0.87
2128311,27th Sep 2020,MCI,2,0.87,5,2.85
2128312,27th Sep 2020,LEE,1,1.17,0,1.40
2128312,27th Sep 2020,SHU,0,1.40,1,1.17
2128313,27th Sep 2020,NEW,1,1.01,1,2.95
2128313,27th Sep 2020,TOT,1,2.95,1,1.01
2128314,26th Sep 2020,CHE,3,2.04,3,0.58
2128314,26th Sep 2020,WBA,3,0.58,3,2.04
2128315,27th Sep 2020,WHU,4,2.36,0,0.46
2128315,27th Sep 2020,WOL,0,0.46,4,2.36
2128316,4th Oct 2020,ARS,2,0.56,1,0.19
2128316,4th Oct 2020,SHU,1,0.19,2,0.56
2128317,4th Oct 2020,AVL,7,2.70,2,1.78
2128317,4th Oct 2020,LIV,2,1.78,7,2.70
2128318,3rd Oct 2020,CHE,4,2.68,0,0.15
2128318,3rd Oct 2020,CRY,0,0.15,4,2.68
2128319,3rd Oct 2020,BHA,2,1.35,4,1.60
2128319,3rd Oct 2020,EVE,4,1.60,2,1.35
2128320,3rd Oct 2020,LEE,1,2.43,1,1.21
2128320,3rd Oct 2020,MCI,1,1.21,1,2.43
2128321,4th Oct 2020,LEI,0,0.57,3,2.01
2128321,4th Oct 2020,WHU,3,2.01,0,0.57
2128322,4th Oct 2020,MUN,1,0.95,6,3.51
2128322,4th Oct 2020,TOT,6,3.51,1,0.95
2128323,3rd Oct 2020,BUR,1,0.43,3,1.83
2128323,3rd Oct 2020,NEW,3,1.83,1,0.43
2128324,4th Oct 2020,SOU,2,1.23,0,0.19
2128324,4th Oct 2020,WBA,0,0.19,2,1.23
2128325,4th Oct 2020,FUL,0,0.89,1,1.25
2128325,4th Oct 2020,WOL,1,1.25,0,0.89
2128326,17th Oct 2020,CHE,3,1.76,3,1.88
2128326,17th Oct 2020,SOU,3,1.88,3,1.76
2128327,18th Oct 2020,BHA,1,1.75,1,0.79
2128327,18th Oct 2020,CRY,1,0.79,1,1.75
2128328,17th Oct 2020,EVE,2,1.23,2,2.65
2128328,17th Oct 2020,LIV,2,2.65,2,1.23
2128329,19th Oct 2020,LEE,0,1.06,1,0.43
2128329,19th Oct 2020,WOL,1,0.43,0,1.06
2128330,18th Oct 2020,AVL,1,0.73,0,0.61
2128330,18th Oct 2020,LEI,0,0.61,1,0.73
2128331,17th Oct 2020,ARS,0,0.90,1,1.30
2128331,17th Oct 2020,MCI,1,1.30,0,0.90
2128332,17th Oct 2020,MUN,4,2.29,1,0.85
2128332,17th Oct 2020,NEW,1,0.85,4,2.29
2128333,18th Oct 2020,FUL,1,1.49,1,1.65
2128333,18th Oct 2020,SHU,1,1.65,1,1.49
2128334,18th Oct 2020,TOT,3,1.69,3,1.90
2128334,18th Oct 2020,WHU,3,1.90,3,1.69
2128335,19th Oct 2020,BUR,0,1.09,0,0.83
2128335,19th Oct 2020,WBA,0,0.83,0,1.09
2128336,25th Oct 2020,ARS,0,0.72,1,0.71
2128336,25th Oct 2020,LEI,1,0.71,0,0.72
2128337,23rd Oct 2020,AVL,0,1.45,3,2.75
2128337,23rd Oct 2020,LEE,3,2.75,0,1.45
2128338,26th Oct 2020,BHA,1,0.50,1,0.35
2128338,26th Oct 2020,WBA,1,0.35,1,0.50
2128339,26th Oct 2020,BUR,0,1.01,1,0.60
2128339,26th Oct 2020,TOT,1,0.60,0,1.01
2128340,24th Oct 2020,CRY,2,2.56,1,1.07
2128340,24th Oct 2020,FUL,1,1.07,2,2.56
2128341,24th Oct 2020,LIV,2,2.29,1,1.57
2128341,24th Oct 2020,SHU,1,1.57,2,2.29
2128342,24th Oct 2020,CHE,0,0.22,0,0.66
2128342,24th Oct 2020,MUN,0,0.66,0,0.22
2128343,25th Oct 2020,EVE,0,0.36,2,0.66
2128343,25th Oct 2020,SOU,2,0.66,0,0.36
2128344,24th Oct 2020,MCI,1,0.98,1,0.28
2128344,24th Oct 2020,WHU,1,0.28,1,0.98
2128345,25th Oct 2020,NEW,1,0.27,1,0.70
2128345,25th Oct 2020,WOL,1,0.70,1,0.27
2128346,1st Nov 2020,AVL,3,1.96,4,0.73
2128346,1st Nov 2020,SOU,4,0.73,3,1.96
2128347,31st Oct 2020,BUR,0,0.50,3,0.88
2128347,31st Oct 2020,CHE,3,0.88,0,0.50
2128348,2nd Nov 2020,FUL,2,1.45,0,0.49
2128348,2nd Nov 2020,WBA,0,0.49,2,1.45
2128349,2nd Nov 2020,LEE,1,2.13,4,2.86
2128349,2nd Nov 2020,LEI,4,2.86,1,2.13
2128350,31st Oct 2020,LIV,2,1.65,1,0.25
2128350,31st Oct 2020,WHU,1,0.25,2,1.65
2128351,1st Nov 2020,ARS,1,1.04,0,0.40
2128351,1st Nov 2020,MUN,0,0.40,1,1.04
2128352,1st Nov 2020,EVE,1,1.46,2,2.97
2128352,1st Nov 2020,NEW,2,2.97,1,1.46
2128353,31st Oct 2020,MCI,1,1.64,0,0.49
2128353,31st Oct 2020,SHU,0,0.49,1,1.64
2128354,1st Nov 2020,BHA,1,0.30,2,1.75
2128354,1st Nov 2020,TOT,2,1.75,1,0.30
2128355,30th Oct 2020,CRY,0,0.66,2,1.28
2128355,30th Oct 2020,WOL,2,1.28,0,0.66
